method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,AR_feas_mean,AR_feas_std,AR_feas_median,AR_feas_q25,AR_feas_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
PC-QAOA,assignment+cardinality,4,5,0.8666660233267265,,0.8666660233267265,0.8666660233267265,0.8666660233267265,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,assignment+cardinality,5,5,0.9999970147657627,,0.9999970147657627,0.9999970147657627,0.9999970147657627,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,assignment+cardinality,6,5,0.7499975149948109,0.35355223370183325,0.7499975149948109,0.6249979240177023,0.8749971059719196,0.9999666666666668,,0.9999666666666668,0.9999666666666668,0.9999666666666668,0.9999,0.00014142135623729392,0.9999,0.99985,0.99995,0.99985,7.071067811864696e-05,0.99985,0.999825,0.9998750000000001
PC-QAOA,assignment+cardinality,7,5,0.5861433794664469,0.320006229149031,0.47916251390760545,0.40624765908034666,0.7125486670731265,0.9999427083333333,5.157039081033664e-05,0.9999281250000001,0.9999140625,0.9999640625,1.0,0.0,1.0,1.0,1.0,0.9998999999999999,9.999999999998899e-05,0.9999,0.99985,0.99995
PC-QAOA,assignment+cardinality,8,5,0.7083198551717839,,0.7083198551717839,0.7083198551717839,0.7083198551717839,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,assignment+cardinality+cardinality,5,5,0.9908646399764204,,0.9908646399764204,0.9908646399764204,0.9908646399764204,0.9461687500000001,,0.9461687500000001,0.9461687500000001,0.9461687500000001,1.0,,1.0,1.0,1.0,0.8379,,0.8379,0.8379,0.8379
PC-QAOA,assignment+flow,7,5,0.5512741704019374,,0.5512741704019374,0.5512741704019374,0.5512741704019374,0.8783899999999999,,0.8783899999999999,0.8783899999999999,0.8783899999999999,1.0,,1.0,1.0,1.0,0.8262,,0.8262,0.8262,0.8262
PC-QAOA,assignment+knapsack,6,5,0.9999624551773121,,0.9999624551773121,0.9999624551773121,0.9999624551773121,0.9997333333333334,,0.9997333333333334,0.9997333333333334,0.9997333333333334,1.0,,1.0,1.0,1.0,0.9995,,0.9995,0.9995,0.9995
PC-QAOA,assignment+quadratic_knapsack,6,5,0.7495621669712372,,0.7495621669712372,0.7495621669712372,0.7495621669712372,0.9990833333333334,,0.9990833333333334,0.9990833333333334,0.9990833333333334,1.0,,1.0,1.0,1.0,0.9955,,0.9955,0.9955,0.9955
PC-QAOA,cardinality+assignment,4,5,0.9999938524808013,,0.9999938524808013,0.9999938524808013,0.9999938524808013,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,cardinality+assignment,6,5,0.665439701014785,,0.665439701014785,0.665439701014785,0.665439701014785,0.9986142857142857,,0.9986142857142857,0.9986142857142857,0.9986142857142857,1.0,,1.0,1.0,1.0,0.9929,,0.9929,0.9929,0.9929
PC-QAOA,cardinality+assignment+cardinality,8,5,0.978531200990826,0.006215700622440437,0.978531200990826,0.9763336189608496,0.9807287830208026,0.7412799641148324,0.3656583651135503,0.7412799641148324,0.6120002093301435,0.8705597188995214,0.97045,0.041790010768125024,0.97045,0.9556749999999999,0.985225,0.5264,0.6693472790711859,0.5264,0.28975,0.76305
PC-QAOA,cardinality+cardinality,3,5,0.9989516674046823,,0.9989516674046823,0.9989516674046823,0.9989516674046823,0.9870000000000001,,0.9870000000000001,0.9870000000000001,0.9870000000000001,0.9974,,0.9974,0.9974,0.9974,0.9803,,0.9803,0.9803,0.9803
PC-QAOA,cardinality+cardinality,4,5,0.9946741789081655,0.007165020990752621,0.9946741789081655,0.9921409614432128,0.997207396373118,0.9986000000000002,0.0014142135623727821,0.9986000000000002,0.9981000000000002,0.9991000000000001,1.0,0.0,1.0,1.0,1.0,0.9986,0.0014142135623730963,0.9986,0.9981,0.9991000000000001
