method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,AR_feas_mean,AR_feas_std,AR_feas_median,AR_feas_q25,AR_feas_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
PC-QAOA,assignment+cardinality,4,5,0.8666660233267265,,0.8666660233267265,0.8666660233267265,0.8666660233267265,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,assignment+cardinality,5,5,0.9999970147657627,,0.9999970147657627,0.9999970147657627,0.9999970147657627,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,assignment+cardinality,6,5,0.49999833304059366,,0.49999833304059366,0.49999833304059366,0.49999833304059366,0.9999666666666668,,0.9999666666666668,0.9999666666666668,0.9999666666666668,1.0,,1.0,1.0,1.0,0.9999,,0.9999,0.9999,0.9999
PC-QAOA,assignment+cardinality,7,5,0.5861433794664469,0.320006229149031,0.47916251390760545,0.40624765908034666,0.7125486670731265,0.9999427083333333,5.157039081033664e-05,0.9999281250000001,0.9999140625,0.9999640625,1.0,0.0,1.0,1.0,1.0,0.9998999999999999,9.999999999998899e-05,0.9999,0.99985,0.99995
PC-QAOA,assignment+cardinality,8,5,0.7083198551717839,,0.7083198551717839,0.7083198551717839,0.7083198551717839,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,assignment+flow,7,5,0.5512741704019374,,0.5512741704019374,0.5512741704019374,0.5512741704019374,0.8783899999999999,,0.8783899999999999,0.8783899999999999,0.8783899999999999,1.0,,1.0,1.0,1.0,0.8262,,0.8262,0.8262,0.8262
PC-QAOA,assignment+knapsack,6,5,0.9999624551773121,,0.9999624551773121,0.9999624551773121,0.9999624551773121,0.9997333333333334,,0.9997333333333334,0.9997333333333334,0.9997333333333334,1.0,,1.0,1.0,1.0,0.9995,,0.9995,0.9995,0.9995
PC-QAOA,cardinality+assignment,4,5,0.9999938524808013,,0.9999938524808013,0.9999938524808013,0.9999938524808013,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
PC-QAOA,cardinality+assignment,6,5,0.665439701014785,,0.665439701014785,0.665439701014785,0.665439701014785,0.9986142857142857,,0.9986142857142857,0.9986142857142857,0.9986142857142857,1.0,,1.0,1.0,1.0,0.9929,,0.9929,0.9929,0.9929
PC-QAOA,cardinality+assignment+cardinality,8,5,0.974136036930873,,0.974136036930873,0.974136036930873,0.974136036930873,0.9998394736842104,,0.9998394736842104,0.9998394736842104,0.9998394736842104,1.0,,1.0,1.0,1.0,0.9997,,0.9997,0.9997,0.9997
PC-QAOA,cardinality+cardinality,5,5,0.5730809751806805,0.2991644748623264,0.616005702801635,0.4601423689522596,0.7289443090300558,0.9991932565789473,0.0015544100703610972,0.9999552631578947,0.999148519736842,1.0,1.0,0.0,1.0,1.0,1.0,0.998825,0.002283819899495883,0.99995,0.998775,1.0
PC-QAOA,cardinality+cardinality,6,5,0.7881737892954233,0.14656815536972692,0.76922902692616,0.7234921980631461,0.9285556779541528,0.9733917179565209,0.03138441380857694,0.98838,0.9488534266409265,1.0,1.0,0.0,1.0,1.0,1.0,0.862025,0.18291208465895772,0.9548,0.75295,1.0
PC-QAOA,cardinality+cardinality,7,5,0.8712945324137115,0.1193130504182132,0.9053228256361573,0.7718056978578143,0.9633813497670247,0.9685308608867611,0.054696934536461995,0.9999194444444445,0.9571095394736842,1.0,1.0,0.0,1.0,1.0,1.0,0.800605,0.28862058772356264,0.9997,0.6196999999999999,1.0
PC-QAOA,cardinality+cardinality,8,5,0.5827850017310833,0.3418575893852028,0.6152777206736193,0.28010532799735777,0.890643729224917,0.9844112580937581,0.036896768664518874,1.0,0.9919256410256408,1.0,1.0,0.0,1.0,1.0,1.0,0.90331,0.20319900727010343,1.0,0.98195,1.0
PC-QAOA,cardinality+cardinality+assignment,8,5,0.47975965271953624,,0.47975965271953624,0.47975965271953624,0.47975965271953624,0.9991458333333334,,0.9991458333333334,0.9991458333333334,0.9991458333333334,1.0,,1.0,1.0,1.0,0.9984,,0.9984,0.9984,0.9984
