method,constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75,num_gamma_mean,num_gamma_std,num_gamma_median,num_gamma_q25,num_gamma_q75,num_beta_mean,num_beta_std,num_beta_median,num_beta_q25,num_beta_q75
PC-QAOA,assignment+cardinality,4,106347657.0,0.0,106347657.0,106347657.0,106347657.0,2.403159761428833,0.8332665927607411,2.2851901054382324,1.6701841354370117,3.028352975845337,9.0,0.0,9.0,9.0,9.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,assignment+cardinality,5,93847657.0,0.0,93847657.0,93847657.0,93847657.0,4.0485621929168705,1.3985744263907585,3.653660774230957,2.800687789916992,5.152868747711182,11.0,0.0,11.0,11.0,11.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,assignment+cardinality,6,100000000.0,0.0,100000000.0,100000000.0,100000000.0,5.633594560623169,2.114409753844615,4.981996297836304,4.316210985183716,6.576256275177002,17.0,0.0,17.0,17.0,17.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,assignment+cardinality,7,440950521.3333333,216402502.85058174,549316407.0,148535157.0,625000000.0,8.508837747573853,4.085678342222698,7.64460015296936,5.36602520942688,10.610989689826965,26.0,1.4638501094227998,27.0,24.0,27.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,assignment+cardinality,8,1225000000.0,0.0,1225000000.0,1225000000.0,1225000000.0,15.881481552124024,6.20888519528026,15.74226427078247,11.814234972000122,20.795828819274902,35.0,0.0,35.0,35.0,35.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,assignment+flow,7,862890625.0,0.0,862890625.0,862890625.0,862890625.0,10.726818799972534,6.090562222969309,9.928191661834717,6.521216869354248,13.34170150756836,26.0,0.0,26.0,26.0,26.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,assignment+knapsack,6,87890625.0,0.0,87890625.0,87890625.0,87890625.0,8.76736102104187,3.896567593601505,8.033028364181519,5.791150093078613,11.852833986282349,16.0,0.0,16.0,16.0,16.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,assignment+quadratic_knapsack,6,126562500.0,0.0,126562500.0,126562500.0,126562500.0,34.704540967941284,18.663853858146965,31.913928270339966,21.26778531074524,46.915560245513916,19.0,0.0,19.0,19.0,19.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,cardinality+assignment,4,66015625.0,0.0,66015625.0,66015625.0,66015625.0,2.343905544281006,0.6443976644224121,2.166567802429199,2.0604159832000732,2.742399215698242,10.0,0.0,10.0,10.0,10.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,cardinality+assignment,6,656640625.0,0.0,656640625.0,656640625.0,656640625.0,9.888754987716675,3.9800178432151796,10.441649675369263,6.619914770126343,12.462449073791504,20.0,0.0,20.0,20.0,20.0,2.0,0.0,2.0,2.0,2.0
