method,constraint_type,n_x,layer,AR_mean,AR_std,AR_median,AR_q25,AR_q75,AR_feas_mean,AR_feas_std,AR_feas_median,AR_feas_q25,AR_feas_q75,p_feasible_mean,p_feasible_std,p_feasible_median,p_feasible_q25,p_feasible_q75,p_optimal_mean,p_optimal_std,p_optimal_median,p_optimal_q25,p_optimal_q75
PC-QAOA,assignment+cardinality,6,5,0.9999966969490283,,0.9999966969490283,0.9999966969490283,0.9999966969490283,,,,,,0.9998,,0.9998,0.9998,0.9998,0.9998,,0.9998,0.9998,0.9998
PC-QAOA,assignment+cardinality+cardinality,5,5,0.9908646399764204,,0.9908646399764204,0.9908646399764204,0.9908646399764204,0.9461687500000001,,0.9461687500000001,0.9461687500000001,0.9461687500000001,1.0,,1.0,1.0,1.0,0.8379,,0.8379,0.8379,0.8379
PC-QAOA,cardinality+assignment+cardinality,8,5,0.9829263650507791,,0.9829263650507791,0.9829263650507791,0.9829263650507791,0.48272045454545454,,0.48272045454545454,0.48272045454545454,0.48272045454545454,0.9409,,0.9409,0.9409,0.9409,0.0531,,0.0531,0.0531,0.0531
PC-QAOA,cardinality+cardinality,3,5,0.9989516674046823,,0.9989516674046823,0.9989516674046823,0.9989516674046823,0.9870000000000001,,0.9870000000000001,0.9870000000000001,0.9870000000000001,0.9974,,0.9974,0.9974,0.9974,0.9803,,0.9803,0.9803,0.9803
PC-QAOA,cardinality+cardinality,4,5,0.9946741789081655,0.007165020990752621,0.9946741789081655,0.9921409614432128,0.997207396373118,0.9986000000000002,0.0014142135623727821,0.9986000000000002,0.9981000000000002,0.9991000000000001,1.0,0.0,1.0,1.0,1.0,0.9986,0.0014142135623730963,0.9986,0.9981,0.9991000000000001
PC-QAOA,cardinality+cardinality,5,5,0.9419467990291518,0.04951647153876921,0.9388270284070225,0.8989953386654385,0.9868920870264424,0.6637983353341337,0.3092344141155154,0.52215,0.4337258403361345,0.9799283333333333,0.9974142857142858,0.006060095865971239,0.9997,0.99925,1.0,0.5019428571428571,0.4490581174604718,0.3,0.1282,0.96635
PC-QAOA,cardinality+cardinality,6,5,0.9887071719060472,0.00741939647694292,0.9887766328635185,0.9829526879598891,0.9936489672488318,0.7342983215807293,0.2155998940290863,0.7766675675675675,0.6010092857142858,0.8870785560344827,0.9988750000000001,0.0021638259766309283,0.9999,0.9988250000000001,1.0,0.289825,0.4503769112008931,0.00765,0.0,0.47757499999999997
PC-QAOA,cardinality+cardinality,7,5,0.9589306974042725,0.03996399367129082,0.9629496432255917,0.9359854992116845,0.9858948414181798,0.7672324251176722,0.23893071461017634,0.7949530081300813,0.6184379332477535,0.9437475,0.9999750000000001,4.999999999998833e-05,1.0,0.9999750000000001,1.0,0.37155,0.47698839608527166,0.2439,0.0,0.61545
PC-QAOA,cardinality+cardinality+cardinality,4,5,0.9998167878013532,0.00022271898421738858,0.9998167878013532,0.9997380447493336,0.9998955308533728,0.9895111111111111,,0.9895111111111111,0.9895111111111111,0.9895111111111111,0.9998,0.00014142135623729392,0.9998,0.99975,0.99985,0.9539500000000001,0.06498311319104366,0.9539500000000001,0.930975,0.976925
PC-QAOA,cardinality+cardinality+cardinality,7,5,0.9382412994105804,0.051565682342421953,0.9382412994105804,0.9200100775801615,0.9564725212409995,0.54055625,0.04465084695367546,0.54055625,0.5247697916666667,0.5563427083333332,0.9680500000000001,0.045184123317820395,0.9680500000000001,0.952075,0.984025,0.07390000000000001,0.0684479364188578,0.07390000000000001,0.0497,0.0981
