method,constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75,num_gamma_mean,num_gamma_std,num_gamma_median,num_gamma_q25,num_gamma_q75,num_beta_mean,num_beta_std,num_beta_median,num_beta_q25,num_beta_q75
PC-QAOA,assignment+cardinality,6,214484765625.0,0.0,214484765625.0,214484765625.0,214484765625.0,16.52248969078064,9.469820892468677,14.486785888671875,9.282289743423462,24.08912491798401,52.0,0.0,52.0,52.0,52.0,5.0,0.0,5.0,5.0,5.0
PC-QAOA,assignment+cardinality+cardinality,5,8912090722657.0,0.0,8912090722657.0,8912090722657.0,8912090722657.0,21.054925632476806,11.906962535419545,17.966336488723755,13.138880729675293,28.17279839515686,69.0,0.0,69.0,69.0,69.0,7.0,0.0,7.0,7.0,7.0
PC-QAOA,cardinality+assignment+cardinality,8,25936739160157.0,0.0,25936739160157.0,25936739160157.0,25936739160157.0,49.423631048202516,34.135059436118276,42.29220485687256,24.267639875411987,64.98377799987793,113.0,0.0,113.0,113.0,113.0,7.0,0.0,7.0,7.0,7.0
PC-QAOA,cardinality+cardinality,3,228006250000.0,0.0,228006250000.0,228006250000.0,228006250000.0,6.438401603698731,3.146175512277341,5.98539137840271,4.208678960800171,8.362837553024292,31.0,0.0,31.0,31.0,31.0,2.0,0.0,2.0,2.0,2.0
PC-QAOA,cardinality+cardinality,4,355984619141.0,118914661771.55484,355984619141.0,243172265625.0,468796972657.0,9.913948726654052,5.077059875486727,8.869439721107483,5.90012139081955,13.188652455806732,31.0,1.0540925533894603,31.0,30.0,32.0,4.0,0.0,4.0,4.0,4.0
PC-QAOA,cardinality+cardinality,5,14340076074219.285,20467000648306.91,9629384765625.0,177714941407.0,17080139160157.0,26.600876413072857,24.96124676417651,16.93023943901062,8.416711688041687,37.4282500743866,73.0,35.351179362970925,72.0,26.0,114.0,4.142857142857143,1.6652655174768616,4.0,3.0,6.0
PC-QAOA,cardinality+cardinality,6,6001604077148.625,7097615223689.649,3078291601562.5,963525659180.25,8903119116211.5,26.091514813899995,19.669682491189597,19.384302258491516,11.912674248218536,32.424278020858765,73.375,27.822410723399557,67.5,59.0,96.25,4.75,1.5811388300841893,5.0,3.75,6.0
PC-QAOA,cardinality+cardinality,7,40921785595703.5,47485735701608.75,24522603759766.0,1332733984375.0,64111655371094.5,74.3657350897789,136.13745254848877,31.819121479988098,19.661421358585358,67.38959419727325,93.75,32.62526466922287,94.0,63.0,124.75,6.0,1.2565617248750864,5.5,5.0,6.5
PC-QAOA,cardinality+cardinality+cardinality,4,729289062500.0,664974287305.7407,729289062500.0,98439062500.0,1360139062500.0,6.874089932441711,3.5666917226426693,6.276887774467468,3.9759369492530823,8.39551156759262,33.5,6.851601597031488,33.5,27.0,40.0,3.5,0.5270462766947299,3.5,3.0,4.0
PC-QAOA,cardinality+cardinality+cardinality,7,94542541503907.0,62788505260296.375,94542541503907.0,34976135253907.0,154108947753907.0,67.97814149856568,51.166497200673504,55.61626410484314,28.73266988992691,96.98716413974762,133.0,9.486832980505138,133.0,124.0,142.0,8.5,1.5811388300841898,8.5,7.0,10.0
