method,constraint_type,n_x,est_shots_mean,est_shots_std,est_shots_median,est_shots_q25,est_shots_q75,optimize_time_mean,optimize_time_std,optimize_time_median,optimize_time_q25,optimize_time_q75,num_gamma_mean,num_gamma_std,num_gamma_median,num_gamma_q25,num_gamma_q75,num_beta_mean,num_beta_std,num_beta_median,num_beta_q25,num_beta_q75
HybridQAOA,assignment+assignment+cardinality,10,1525878907.0,,1525878907.0,1525878907.0,1525878907.0,4788.825096845627,,4788.825096845627,4788.825096845627,4788.825096845627,46.0,,46.0,46.0,46.0,1.0,,1.0,1.0,1.0
HybridQAOA,assignment+cardinality,7,862890625.0,,862890625.0,862890625.0,862890625.0,3605.722568511963,,3605.722568511963,3605.722568511963,3605.722568511963,26.0,,26.0,26.0,26.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+assignment,5,264062500.0,,264062500.0,264062500.0,264062500.0,2932.72545003891,,2932.72545003891,2932.72545003891,2932.72545003891,15.0,,15.0,15.0,15.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+assignment,6,206640625.0,,206640625.0,206640625.0,206640625.0,3359.0222239494324,,3359.0222239494324,3359.0222239494324,3359.0222239494324,20.0,,20.0,20.0,20.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+assignment+knapsack,9,4472265625.0,,4472265625.0,4472265625.0,4472265625.0,4226.122097492218,,4226.122097492218,4226.122097492218,4226.122097492218,41.0,,41.0,41.0,41.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+cardinality,5,2316015625.0,0.0,2316015625.0,2316015625.0,2316015625.0,6134.795452690125,2162.7994695412913,5148.909073352814,4914.587605237961,6398.378113031387,16.0,0.0,16.0,16.0,16.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,cardinality+cardinality,6,126562500.0,,126562500.0,126562500.0,126562500.0,629.6972496509552,,629.6972496509552,629.6972496509552,629.6972496509552,19.0,,19.0,19.0,19.0,1.0,,1.0,1.0,1.0
HybridQAOA,cardinality+cardinality,7,1525878907.0,0.0,1525878907.0,1525878907.0,1525878907.0,9307.136273479462,3656.591193683772,8677.383726358414,6932.520226716995,12110.317187547684,26.0,0.0,26.0,26.0,26.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,cardinality+cardinality,8,9628515625.0,0.0,9628515625.0,9628515625.0,9628515625.0,3348.4603502750397,1524.9331481286656,2836.751348376274,2385.7974168658257,3799.414281785488,34.0,0.0,34.0,34.0,34.0,1.0,0.0,1.0,1.0,1.0
HybridQAOA,cardinality+cardinality,10,976562500.0,,976562500.0,976562500.0,976562500.0,5693.713026762009,,5693.713026762009,5693.713026762009,5693.713026762009,48.0,,48.0,48.0,48.0,1.0,,1.0,1.0,1.0
