             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
244990_[1-13,16,19    campus ph_squbo awilkie1 PD       0:00      1 (Dependency)
244989_[1-13,16,19    campus ph_squbo awilkie1 PD       0:00      1 (Dependency)
244988_[1-14,16-22    campus ph_squbo awilkie1 PD       0:00      1 (Dependency)
244987_[1-22,25-31    campus ph_squbo awilkie1 PD       0:00      1 (Dependency)
         244986_98    campus qaoa_squ awilkie1  R 6-05:50:04      1 clr0621
         244986_94    campus qaoa_squ awilkie1  R 6-08:52:27      1 clr0625
         244986_86    campus qaoa_squ awilkie1  R 6-15:05:25      1 clr0633
        246314_499    campus experime awilkie1  R      11:00      1 clr0622
        246314_498    campus experime awilkie1  R      24:31      1 clr0633
        246314_497    campus experime awilkie1  R      28:15      1 clr0623
        246314_496    campus experime awilkie1  R      28:51      1 clr0623
        246314_495    campus experime awilkie1  R      30:15      1 clr0623
        246314_494    campus experime awilkie1  R      41:04      1 clr0633
        246314_493    campus experime awilkie1  R      44:11      1 clr0623
        246314_492    campus experime awilkie1  R      56:00      1 clr0621
        246314_491    campus experime awilkie1  R    1:01:10      1 clr0621
        246314_490    campus experime awilkie1  R    1:05:15      1 clr0623
        246314_489    campus experime awilkie1  R    1:25:29      1 clr0623
        246314_488    campus experime awilkie1  R    1:40:55      1 clr0623
        246314_487    campus experime awilkie1  R    1:43:05      1 clr0625
        246314_486    campus experime awilkie1  R    1:48:25      1 clr0621
        246314_485    campus experime awilkie1  R    2:18:20      1 clr0625
        246314_484    campus experime awilkie1  R    2:26:20      1 clr0627
        246314_483    campus experime awilkie1  R    2:30:45      1 clr0623
        246314_482    campus experime awilkie1  R    2:49:14      1 clr0633
        246314_481    campus experime awilkie1  R    2:57:25      1 clr0625
        246314_480    campus experime awilkie1  R    3:08:54      1 clr0633
        246314_479    campus experime awilkie1  R    3:15:43      1 clr0623
        246314_478    campus experime awilkie1  R    3:31:25      1 clr0621
        246314_477    campus experime awilkie1  R    3:42:41      1 clr0627
        246314_476    campus experime awilkie1  R    4:19:16      1 clr0625
        246314_475    campus experime awilkie1  R    5:12:54      1 clr0621
        246314_474    campus experime awilkie1  R    5:35:06      1 clr0622
        246314_473    campus experime awilkie1  R    5:37:26      1 clr0623
        246314_472    campus experime awilkie1  R    5:38:06      1 clr0627
        246314_471    campus experime awilkie1  R    5:40:46      1 clr0625
        246314_470    campus experime awilkie1  R    6:01:17      1 clr0633
        246314_469    campus experime awilkie1  R    6:18:25      1 clr0633
        246314_468    campus experime awilkie1  R    6:22:32      1 clr0619
        246314_467    campus experime awilkie1  R    6:41:58      1 clr0624
        246314_466    campus experime awilkie1  R    6:47:02      1 clr0619
        246314_465    campus experime awilkie1  R    6:51:15      1 clr0625
        246314_464    campus experime awilkie1  R    6:52:17      1 clr0620
        246314_462    campus experime awilkie1  R    6:56:28      1 clr0633
        246314_461    campus experime awilkie1  R    7:15:38      1 clr0627
        246314_460    campus experime awilkie1  R    7:17:28      1 clr0621
        246314_459    campus experime awilkie1  R    7:18:54      1 clr0621
        246314_458    campus experime awilkie1  R    7:20:44      1 clr0624
        246314_457    campus experime awilkie1  R    7:29:53      1 clr0619
        246314_456    campus experime awilkie1  R    7:43:29      1 clr0633
        246314_455    campus experime awilkie1  R    7:54:45      1 clr0633
        246314_454    campus experime awilkie1  R    8:01:08      1 clr0619
        246314_452    campus experime awilkie1  R    8:25:58      1 clr0619
        246314_451    campus experime awilkie1  R    8:29:54      1 clr0620
        246314_449    campus experime awilkie1  R    8:42:09      1 clr0622
        246314_448    campus experime awilkie1  R    9:10:56      1 clr0625
        246314_447    campus experime awilkie1  R    9:18:10      1 clr0620
        246314_446    campus experime awilkie1  R    9:19:57      1 clr0621
        246314_445    campus experime awilkie1  R    9:31:01      1 clr0623
        246314_444    campus experime awilkie1  R    9:38:47      1 clr0625
        246314_443    campus experime awilkie1  R    9:47:02      1 clr0625
        246314_442    campus experime awilkie1  R   10:06:30      1 clr0621
        246314_441    campus experime awilkie1  R   10:20:58      1 clr0620
        246314_440    campus experime awilkie1  R   10:48:31      1 clr0625
        246314_438    campus experime awilkie1  R   11:34:34      1 clr0620
        246314_437    campus experime awilkie1  R   11:37:34      1 clr0633
        246314_436    campus experime awilkie1  R   11:42:38      1 clr0625
        246314_435    campus experime awilkie1  R   12:03:14      1 clr0624
        246314_430    campus experime awilkie1  R   12:36:25      1 clr0625
        246314_429    campus experime awilkie1  R   12:39:35      1 clr0625
        246314_428    campus experime awilkie1  R   12:42:43      1 clr0626
