task_id,constraints_hash,constraint_type,n_x,n_c,qubo_string,families,n_qubits_pc,n_slack_pc,n_struct_pc,n_pen_pc,has_vcg_pc,vcg_missing_pc,sp_total_pc,sp_1q_pc,sp_2q_pc,sp_gates_pc,vcg_sp_gates_pc,layer_total_pc,layer_1q_pc,layer_2q_pc,layer_gates_pc,vcg_layer_gates_pc,n_qubits_p,n_slack_p,sp_total_p,sp_1q_p,sp_2q_p,sp_gates_p,layer_total_p,layer_1q_p,layer_2q_p,layer_gates_p
1,"['3*x_2*x_2 + 1*x_2*x_3 + 3*x_2*x_4 + 4*x_2*x_5 + 5*x_3*x_3 + 4*x_3*x_4 + 2*x_3*x_5 + 2*x_4*x_4 + 4*x_4*x_5 + 4*x_5*x_5 <= 17', 'x_0 + x_1 <= 0']",cardinality+quadratic_knapsack,6,2, -2*x_0 + -4*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 1*x_1 x_3 + -2*x_1 x_4 + -5*x_2 x_3 + 4*x_2 x_4 + 3*x_2 x_5 + 3*x_3 + -3*x_3 x_4 + 2*x_3 x_5 + -1*x_4 + 2*x_4 x_5 + 3*x_5,"['cardinality', 'quadratic_knapsack']",6,0,2,0,True,False,19,1,16,"{'RY': 1, 'CRY': 4, 'SWAP': 2, 'CNOT': 10, 'CC_RY': 2, 'CSWAP': 0}","{'RY': 1, 'CRY': 4, 'SWAP': 2, 'CNOT': 10, 'CC_RY': 2, 'CSWAP': 0}",93,30,59,"{'CNOT': 46, 'RZ': 19, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 4, 'RY': 2, 'CRY': 8, 'SWAP': 4, 'CC_RY': 4, 'CSWAP': 0}","{'RY': 2, 'CRY': 8, 'SWAP': 4, 'CNOT': 20, 'CC_RY': 4, 'CSWAP': 0}",11,5,5,5,0,{'Hadamard': 5},664,664,790,"{'CNOT': 790, 'RZ': 653, 'RX': 11}"
2,"['x_0 + x_1 + x_2 + x_3 <= 2', 'x_4 + x_5 + x_6 >= 0']",cardinality+cardinality,7,2, -4*x_0 + -1*x_0 x_1 + 4*x_0 x_2 + 2*x_0 x_3 + -5*x_0 x_4 + 2*x_0 x_5 + -5*x_0 x_6 + 3*x_1 + 3*x_1 x_2 + 4*x_1 x_4 + 3*x_1 x_5 + -2*x_1 x_6 + -5*x_2 + 2*x_2 x_3 + -5*x_2 x_4 + 1*x_2 x_5 + 3*x_2 x_6 + -5*x_3 + -4*x_3 x_4 + 4*x_3 x_5 + 1*x_3 x_6 + -4*x_4 + -5*x_4 x_5 + -5*x_4 x_6 + -3*x_5 x_6 + 3*x_6,"['cardinality', 'cardinality']",7,0,2,0,True,True,19,1,16,"{'RY': 1, 'CRY': 4, 'SWAP': 2, 'CNOT': 10, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 2}",{},120,41,73,"{'CNOT': 60, 'RZ': 27, 'RY': 2, 'CRY': 8, 'SWAP': 4, 'C(RY, num_ctrl_wires=2,num_zero_ctrl=0)': 4, 'X': 8, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=3,num_zero_ctrl=0)': 1, 'RX': 3}",{},11,4,4,4,0,{'Hadamard': 4},130,130,90,"{'CNOT': 90, 'RZ': 119, 'RX': 11}"
3,"['6*x_5 + 2*x_6 + 2*x_7 <= 3', '9*x_0 + 2*x_1 + 1*x_2 + 9*x_3 + 6*x_4 <= 13']",knapsack+knapsack,8,2, 2*x_0 + 3*x_0 x_1 + -2*x_0 x_3 + -1*x_0 x_4 + 3*x_0 x_5 + 4*x_0 x_6 + -5*x_0 x_7 + 4*x_1 + 2*x_1 x_2 + -4*x_1 x_3 + -2*x_1 x_4 + -4*x_1 x_5 + -3*x_1 x_6 + -2*x_1 x_7 + -4*x_2 x_3 + 2*x_2 x_4 + 3*x_2 x_5 + 1*x_2 x_6 + -4*x_2 x_7 + 1*x_3 + -1*x_3 x_4 + 3*x_3 x_5 + -1*x_3 x_6 + -5*x_4 + -4*x_4 x_5 + -5*x_4 x_6 + -3*x_4 x_7 + 3*x_5 + 4*x_5 x_6 + -3*x_5 x_7 + -3*x_7,"['knapsack', 'knapsack']",8,0,2,0,True,False,67,45,22,"{'Hadamard': 8, 'CNOT': 22, 'RZ': 19, 'RX': 18}","{'Hadamard': 8, 'CNOT': 22, 'RZ': 19, 'RX': 18}",223,129,94,"{'CNOT': 94, 'RZ': 69, 'RX': 44, 'Hadamard': 16}","{'Hadamard': 16, 'CNOT': 44, 'RZ': 38, 'RX': 36}",14,6,6,6,0,{'Hadamard': 6},211,211,142,"{'CNOT': 142, 'RZ': 197, 'RX': 14}"
4,"['x_0 + x_1 + x_2 == 2', 'x_3 + x_4 + x_5 + x_6 <= 1']",cardinality+cardinality,7,2, -3*x_0 + -4*x_0 x_1 + -4*x_0 x_2 + -1*x_0 x_4 + 4*x_0 x_5 + 2*x_0 x_6 + 4*x_1 + 4*x_1 x_2 + -1*x_1 x_3 + -1*x_1 x_4 + 1*x_1 x_5 + -1*x_1 x_6 + -3*x_2 + -4*x_2 x_3 + -2*x_2 x_4 + 1*x_2 x_6 + -1*x_3 + 4*x_3 x_4 + -1*x_3 x_5 + -3*x_3 x_6 + -1*x_4 + -3*x_4 x_5 + 2*x_5 + 3*x_5 x_6 + -1*x_6,"['cardinality', 'cardinality']",7,0,2,0,False,False,24,3,20,"{'X': 2, 'CNOT': 11, 'CRY': 6, 'CSWAP': 1, 'SWAP': 3, 'RY': 1}",{},108,41,65,"{'CNOT': 54, 'RZ': 24, 'RY': 8, 'CRY': 6, 'SWAP': 4, 'X': 8, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'C(RZ, num_ctrl_wires=3,num_zero_ctrl=0)': 1}",{},8,1,1,1,0,{'Hadamard': 1},87,87,62,"{'CNOT': 62, 'RZ': 79, 'RX': 8}"
5,"['3*x_0 + 1*x_1 + 4*x_2 + 8*x_3 <= 7', 'x_4 + x_5 + x_6 + x_7 == 4']",knapsack+cardinality,8,2, 1*x_0 + -5*x_0 x_1 + -1*x_0 x_2 + 4*x_0 x_3 + -2*x_0 x_4 + 2*x_0 x_5 + -1*x_0 x_6 + 1*x_1 x_2 + -5*x_1 x_3 + -1*x_1 x_4 + 2*x_1 x_5 + 3*x_1 x_6 + -4*x_1 x_7 + -4*x_2 + -5*x_2 x_3 + -5*x_2 x_4 + -3*x_2 x_5 + 3*x_2 x_7 + -5*x_3 + -2*x_3 x_4 + -1*x_3 x_5 + -2*x_3 x_6 + -4*x_3 x_7 + -2*x_4 + 3*x_4 x_5 + -4*x_4 x_6 + 4*x_4 x_7 + -5*x_5 + -3*x_5 x_7 + -5*x_6 + -1*x_6 x_7,"['knapsack', 'cardinality']",8,0,2,0,True,False,61,27,34,"{'X': 4, 'Hadamard': 4, 'CNOT': 34, 'RZ': 15, 'RX': 4}","{'Hadamard': 4, 'CNOT': 34, 'RZ': 15, 'RX': 4}",217,91,126,"{'CNOT': 126, 'RZ': 63, 'RY': 8, 'RX': 12, 'Hadamard': 8}","{'Hadamard': 8, 'CNOT': 68, 'RZ': 30, 'RX': 8}",11,3,3,3,0,{'Hadamard': 3},147,147,104,"{'CNOT': 104, 'RZ': 136, 'RX': 11}"
6,"['5*x_0*x_0 + 1*x_0*x_1 + 2*x_0*x_2 + 5*x_1*x_1 + 1*x_1*x_2 + 3*x_2*x_2 <= 6', '6*x_3 + 2*x_4 + 2*x_5 <= 3']",quadratic_knapsack+knapsack,6,2, -4*x_0 + 2*x_0 x_1 + -4*x_0 x_2 + 1*x_0 x_3 + -4*x_0 x_4 + 1*x_1 + 4*x_1 x_2 + -3*x_1 x_3 + -1*x_1 x_5 + 2*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + 3*x_3 + 4*x_3 x_4 + -4*x_3 x_5 + -1*x_4 + 3*x_4 x_5 + -1*x_5,"['quadratic_knapsack', 'knapsack']",6,0,2,0,True,False,31,14,17,"{'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 14, 'CC_RY': 0, 'CSWAP': 0, 'Hadamard': 3, 'RZ': 7, 'RX': 3}","{'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 14, 'CC_RY': 0, 'CSWAP': 0, 'Hadamard': 3, 'RZ': 7, 'RX': 3}",109,51,58,"{'CNOT': 52, 'RZ': 31, 'RX': 12, 'RY': 2, 'CRY': 4, 'SWAP': 2, 'CC_RY': 0, 'CSWAP': 0, 'Hadamard': 6}","{'RY': 2, 'CRY': 4, 'SWAP': 2, 'CNOT': 28, 'CC_RY': 0, 'CSWAP': 0, 'Hadamard': 6, 'RZ': 14, 'RX': 6}",11,5,5,5,0,{'Hadamard': 5},272,272,248,"{'CNOT': 248, 'RZ': 261, 'RX': 11}"
7,"['2*x_3 + 5*x_4 + 2*x_5 <= 5', '5*x_0*x_0 + 3*x_0*x_1 + 5*x_0*x_2 + 4*x_1*x_1 + 5*x_1*x_2 + 3*x_2*x_2 <= 14']",quadratic_knapsack+knapsack,6,2, 4*x_0 + 4*x_0 x_1 + -3*x_0 x_2 + -2*x_0 x_3 + -5*x_0 x_4 + 4*x_0 x_5 + -2*x_1 + -5*x_1 x_2 + -2*x_1 x_3 + 3*x_1 x_4 + -5*x_1 x_5 + -1*x_2 + -3*x_2 x_3 + -5*x_2 x_4 + 2*x_2 x_5 + 2*x_3 + 3*x_3 x_4 + -1*x_3 x_5 + -4*x_4 + -2*x_4 x_5 + -2*x_5,"['quadratic_knapsack', 'knapsack']",6,0,2,0,True,False,75,34,40,"{'RY': 1, 'CRY': 3, 'SWAP': 1, 'CNOT': 36, 'CC_RY': 1, 'CSWAP': 0, 'Hadamard': 3, 'RZ': 21, 'RX': 9}","{'RY': 1, 'CRY': 3, 'SWAP': 1, 'CNOT': 36, 'CC_RY': 1, 'CSWAP': 0, 'Hadamard': 3, 'RZ': 21, 'RX': 9}",207,95,110,"{'CNOT': 102, 'RZ': 63, 'RX': 24, 'RY': 2, 'CRY': 6, 'SWAP': 2, 'CC_RY': 2, 'CSWAP': 0, 'Hadamard': 6}","{'RY': 2, 'CRY': 6, 'SWAP': 2, 'CNOT': 72, 'CC_RY': 2, 'CSWAP': 0, 'Hadamard': 6, 'RZ': 42, 'RX': 18}",13,7,7,7,0,{'Hadamard': 7},336,336,306,"{'CNOT': 306, 'RZ': 323, 'RX': 13}"
8,"['x_0 + x_1 + x_2 == 1', 'x_3 + x_4 - x_5 - x_6 == 0']",assignment+flow,7,2, -4*x_0 + 4*x_0 x_1 + -2*x_0 x_2 + -2*x_0 x_3 + 4*x_0 x_4 + -5*x_0 x_5 + -1*x_0 x_6 + -3*x_1 x_2 + 4*x_1 x_3 + 2*x_1 x_4 + 1*x_1 x_5 + -5*x_1 x_6 + -5*x_2 + -4*x_2 x_3 + 1*x_2 x_4 + -3*x_2 x_5 + 2*x_2 x_6 + -3*x_3 + 3*x_3 x_4 + 4*x_4 + -2*x_4 x_5 + 1*x_4 x_6 + -4*x_5 + -4*x_5 x_6 + -5*x_6,"['assignment', 'flow']",7,0,2,0,False,False,17,2,15,"{'X': 1, 'CNOT': 8, 'CRY': 5, 'SWAP': 2, 'RY': 1}",{},92,40,52,"{'CNOT': 52, 'RZ': 26, 'RY': 14}",{},7,0,0,0,0,{},70,70,56,"{'CNOT': 56, 'RZ': 63, 'RX': 7}"
9,"['1*x_2*x_2 + 5*x_2*x_3 + 4*x_2*x_4 + 2*x_3*x_3 + 2*x_3*x_4 + 2*x_4*x_4 <= 8', 'x_0 + x_1 <= 2']",cardinality+quadratic_knapsack,5,2, 1*x_0 + 2*x_0 x_1 + -2*x_0 x_2 + 1*x_0 x_3 + 2*x_0 x_4 + -2*x_1 + -1*x_1 x_2 + -2*x_1 x_3 + 2*x_1 x_4 + -1*x_2 + -1*x_2 x_3 + -2*x_2 x_4 + -4*x_3 + 4*x_3 x_4 + 3*x_4,"['cardinality', 'quadratic_knapsack']",5,0,2,0,True,False,18,2,15,"{'RY': 2, 'CRY': 5, 'SWAP': 2, 'CNOT': 8, 'CC_RY': 1, 'CSWAP': 0}","{'RY': 1, 'CRY': 3, 'SWAP': 1, 'CNOT': 6, 'CC_RY': 1, 'CSWAP': 0}",80,27,51,"{'CNOT': 36, 'RZ': 15, 'RY': 4, 'CRY': 10, 'SWAP': 4, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 3, 'CC_RY': 2, 'CSWAP': 0}","{'RY': 2, 'CRY': 6, 'SWAP': 2, 'CNOT': 12, 'CC_RY': 2, 'CSWAP': 0}",11,6,6,6,0,{'Hadamard': 6},297,297,278,"{'CNOT': 278, 'RZ': 286, 'RX': 11}"
10,"['1*x_0*x_0 + 5*x_0*x_1 + 3*x_0*x_2 + 4*x_1*x_1 + 2*x_1*x_2 + 4*x_2*x_2 <= 7', 'x_3 + x_4 + x_5 + x_6 >= 3']",quadratic_knapsack+cardinality,7,2, -4*x_0 + -1*x_0 x_1 + 4*x_0 x_2 + 2*x_0 x_3 + -5*x_0 x_4 + 2*x_0 x_5 + -5*x_0 x_6 + 3*x_1 + 3*x_1 x_2 + 4*x_1 x_4 + 3*x_1 x_5 + -2*x_1 x_6 + -5*x_2 + 2*x_2 x_3 + -5*x_2 x_4 + 1*x_2 x_5 + 3*x_2 x_6 + -5*x_3 + -4*x_3 x_4 + 4*x_3 x_5 + 1*x_3 x_6 + -4*x_4 + -5*x_4 x_5 + -5*x_4 x_6 + -3*x_5 x_6 + 3*x_6,"['quadratic_knapsack', 'cardinality']",7,0,2,0,True,True,8,1,7,"{'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 4, 'CC_RY': 0, 'CSWAP': 0}","{'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 4, 'CC_RY': 0, 'CSWAP': 0}",90,36,54,"{'CNOT': 48, 'RZ': 27, 'RX': 7, 'RY': 2, 'CRY': 4, 'SWAP': 2, 'CC_RY': 0, 'CSWAP': 0}","{'RY': 2, 'CRY': 4, 'SWAP': 2, 'CNOT': 8, 'CC_RY': 0, 'CSWAP': 0}",11,4,4,4,0,{'Hadamard': 4},282,282,264,"{'CNOT': 264, 'RZ': 271, 'RX': 11}"
