constraints_hash,constraint_type,n_x,n_c,qubo_string,has_feasible_solution,n_layers_h,total_time_hr_h,AR_h,AR_feas_h,p_feasible_h,p_optimal_h,converged_h,finished_h,n_layers_p,total_time_hr_p,AR_p,AR_feas_p,p_feasible_p,p_optimal_p,converged_p,finished_p,max_total_time_hr,min_total_time_hr
"['x_0 + x_1 == 0', 'x_2 + x_3 == 1']",cardinality+assignment,4,2, 4*x_0 x_1 + 1*x_0 x_2 + 1*x_0 x_3 + -1*x_1 + 1*x_1 x_2 + 4*x_1 x_3 + -2*x_2 + -1*x_2 x_3 + 4*x_3,True,1,0.0006862940390904744,0.9999989193501578,1.0,1.0,1.0,True,True,1.0,0.000625320143169827,0.928958131919425,0.4706,0.8864,0.4706,True,True,0.0006862940390904744,0.000625320143169827
"['x_0 + x_1 == 1', 'x_2 + x_3 >= 1']",assignment+cardinality,4,2, -3*x_0 + -1*x_0 x_1 + -1*x_0 x_2 + 3*x_0 x_3 + -4*x_1 + -3*x_1 x_2 + -3*x_1 x_3 + 1*x_2 + 2*x_2 x_3 + -5*x_3,True,1,0.0005533322360780504,0.8585776387828385,0.9876333333333334,1.0,0.9815,True,True,1.0,0.000894926455285814,0.9277896517629962,0.32118888888888897,0.907,0.2441,True,True,0.000894926455285814,0.0005533322360780504
"['x_0 + x_1 + x_2 + x_3 == 2', 'x_4*x_5 == 0']",cardinality+independent_set,6,2, -5*x_0 + -1*x_0 x_1 + 3*x_0 x_2 + -5*x_0 x_3 + 1*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 2*x_1 x_2 + 1*x_1 x_3 + -4*x_1 x_4 + 2*x_1 x_5 + 3*x_2 + -4*x_2 x_4 + 2*x_2 x_5 + 3*x_3 + 2*x_3 x_4 + -1*x_3 x_5 + 4*x_4 + 2*x_5,True,1,0.0007819394932852851,0.7892503109872764,0.7578095238095238,1.0,0.1728,True,True,1.0,0.0012072414159774781,0.9088024755365713,0.44205714285714287,0.8789,0.074,True,True,0.0012072414159774781,0.0007819394932852851
"['1*x_0*x_0 + 5*x_0*x_1 + 3*x_0*x_2 + 4*x_1*x_1 + 2*x_1*x_2 + 4*x_2*x_2 <= 7', '5*x_3*x_3 + 1*x_3*x_4 + 2*x_3*x_5 + 5*x_4*x_4 + 1*x_4*x_5 + 3*x_5*x_5 <= 6']",quadratic_knapsack+quadratic_knapsack,6,2, 4*x_0 + 4*x_0 x_1 + -3*x_0 x_2 + -2*x_0 x_3 + -5*x_0 x_4 + 4*x_0 x_5 + -2*x_1 + -5*x_1 x_2 + -2*x_1 x_3 + 3*x_1 x_4 + -5*x_1 x_5 + -1*x_2 + -3*x_2 x_3 + -5*x_2 x_4 + 2*x_2 x_5 + 2*x_3 + 3*x_3 x_4 + -1*x_3 x_5 + -4*x_4 + -2*x_4 x_5 + -2*x_5,True,1,0.001215209166208903,0.42230355336576125,0.7412,1.0,0.2884,True,True,,,,,,,,False,0.001215209166208903,0.001215209166208903
"['5*x_2*x_2 + 1*x_2*x_3 + 3*x_2*x_4 + 1*x_2*x_5 + 4*x_3*x_3 + 1*x_3*x_4 + 5*x_3*x_5 + 4*x_4*x_4 + 2*x_4*x_5 + 3*x_5*x_5 <= 19', 'x_0 + x_1 >= 0']",cardinality+quadratic_knapsack,6,2, -4*x_0 + 2*x_0 x_1 + -4*x_0 x_2 + 1*x_0 x_3 + -4*x_0 x_4 + 1*x_1 + 4*x_1 x_2 + -3*x_1 x_3 + -1*x_1 x_5 + 2*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + 3*x_3 + 4*x_3 x_4 + -4*x_3 x_5 + -1*x_4 + 3*x_4 x_5 + -1*x_5,True,1,0.0012695775429407755,0.6197192797080721,0.6220159999999998,1.0,0.0517,True,True,,,,,,,,False,0.0012695775429407755,0.0012695775429407755
"['2*x_0*x_0 + 4*x_0*x_1 + 5*x_0*x_2 + 1*x_0*x_3 + 4*x_0*x_4 + 2*x_1*x_1 + 4*x_1*x_2 + 4*x_1*x_3 + 1*x_1*x_4 + 2*x_2*x_2 + 3*x_2*x_3 + 3*x_2*x_4 + 3*x_3*x_3 + 2*x_3*x_4 + 1*x_4*x_4 <= 19', 'x_5 + x_6 == 2']",quadratic_knapsack+cardinality,7,2, 4*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + 3*x_0 x_3 + 1*x_0 x_4 + -3*x_0 x_5 + -3*x_0 x_6 + -5*x_1 + -2*x_1 x_2 + -5*x_1 x_3 + -4*x_1 x_4 + -4*x_1 x_5 + 1*x_2 + 4*x_2 x_3 + 2*x_2 x_4 + -4*x_2 x_5 + -4*x_2 x_6 + -2*x_3 + 2*x_3 x_4 + -5*x_3 x_5 + -2*x_3 x_6 + 2*x_4 + 1*x_4 x_5 + 3*x_4 x_6 + 4*x_5 + -4*x_5 x_6 + -2*x_6,True,1,0.0013364383247163561,0.6661848929214452,0.5263029411764706,1.0,0.027,True,True,,,,,,,,False,0.0013364383247163561,0.0013364383247163561
"['4*x_2*x_2 + 5*x_2*x_3 + 2*x_2*x_4 + 5*x_2*x_5 + 4*x_3*x_3 + 3*x_3*x_4 + 5*x_3*x_5 + 3*x_4*x_4 + 2*x_4*x_5 + 3*x_5*x_5 <= 22', 'x_0 - x_1 == 0']",flow+quadratic_knapsack,6,2, 2*x_0 + -5*x_0 x_1 + 2*x_0 x_2 + -4*x_0 x_3 + -2*x_0 x_4 + 4*x_0 x_5 + -4*x_1 + -5*x_1 x_2 + -5*x_1 x_3 + -5*x_1 x_4 + -5*x_1 x_5 + 1*x_2 + 4*x_2 x_3 + -1*x_2 x_4 + -1*x_2 x_5 + -5*x_3 + -5*x_3 x_5 + -1*x_4 + 1*x_4 x_5 + -1*x_5,True,1,0.0013576428095499675,0.5306836536130511,0.44884722222222234,1.0,0.099,True,True,,,,,,,,False,0.0013576428095499675,0.0013576428095499675
"['3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 4*x_0*x_3 + 5*x_1*x_1 + 4*x_1*x_2 + 2*x_1*x_3 + 2*x_2*x_2 + 4*x_2*x_3 + 4*x_3*x_3 <= 17', '5*x_4 + 4*x_5 + 1*x_6 <= 6']",quadratic_knapsack+knapsack,7,2, 3*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + -5*x_0 x_3 + -5*x_0 x_4 + -4*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -4*x_1 x_4 + 1*x_1 x_6 + 3*x_2 + 3*x_2 x_3 + 1*x_2 x_4 + -1*x_2 x_5 + -4*x_3 + 2*x_3 x_4 + 1*x_3 x_5 + -5*x_3 x_6 + -5*x_4 + -3*x_4 x_5 + 4*x_4 x_6 + -4*x_5 + -3*x_5 x_6 + 4*x_6,True,1,0.0013835487763086956,0.4633496228293524,0.6050310344827586,1.0,0.0608,True,True,,,,,,,,False,0.0013835487763086956,0.0013835487763086956
"['5*x_2*x_2 + 2*x_2*x_3 + 2*x_2*x_4 + 3*x_2*x_5 + 1*x_2*x_6 + 1*x_3*x_3 + 4*x_3*x_4 + 4*x_3*x_5 + 3*x_3*x_6 + 1*x_4*x_4 + 3*x_4*x_5 + 1*x_4*x_6 + 5*x_5*x_5 + 1*x_5*x_6 + 5*x_6*x_6 <= 23', 'x_0 + x_1 >= 2']",cardinality+quadratic_knapsack,7,2, 3*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + -5*x_0 x_3 + -5*x_0 x_4 + -4*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -4*x_1 x_4 + 1*x_1 x_6 + 3*x_2 + 3*x_2 x_3 + 1*x_2 x_4 + -1*x_2 x_5 + -4*x_3 + 2*x_3 x_4 + 1*x_3 x_5 + -5*x_3 x_6 + -5*x_4 + -3*x_4 x_5 + 4*x_4 x_6 + -4*x_5 + -3*x_5 x_6 + 4*x_6,True,1,0.0014423521359761555,0.6793829579658784,0.653917142857143,1.0,0.1004,True,True,,,,,,,,False,0.0014423521359761555,0.0014423521359761555
"['5*x_0*x_0 + 2*x_0*x_1 + 2*x_0*x_2 + 3*x_0*x_3 + 1*x_0*x_4 + 1*x_1*x_1 + 4*x_1*x_2 + 4*x_1*x_3 + 3*x_1*x_4 + 1*x_2*x_2 + 3*x_2*x_3 + 1*x_2*x_4 + 5*x_3*x_3 + 1*x_3*x_4 + 5*x_4*x_4 <= 23', 'x_5 + x_6 == 0']",quadratic_knapsack+cardinality,7,2, -5*x_0 + 1*x_0 x_1 + 4*x_0 x_2 + -2*x_0 x_3 + -2*x_0 x_4 + 4*x_0 x_6 + -3*x_1 + -4*x_1 x_2 + -2*x_1 x_3 + 3*x_1 x_4 + 4*x_1 x_5 + 4*x_1 x_6 + 1*x_2 + -5*x_2 x_3 + -5*x_2 x_4 + -3*x_2 x_5 + 3*x_2 x_6 + -3*x_3 + 1*x_3 x_4 + -5*x_3 x_6 + -4*x_4 + 1*x_4 x_5 + -3*x_4 x_6 + 3*x_5 + -1*x_5 x_6 + 1*x_6,True,1,0.0014529456032647027,0.5613537995428194,0.6541588235294118,1.0,0.1008,True,True,,,,,,,,False,0.0014529456032647027,0.0014529456032647027
