task_id,constraints_hash,constraint_type,n_x,n_c,qubo_string,families,n_qubits_pc,n_slack_pc,n_struct_pc,n_pen_pc,has_vcg_pc,vcg_missing_pc,sp_total_pc,sp_1q_pc,sp_2q_pc,sp_gates_pc,vcg_sp_gates_pc,layer_total_pc,layer_1q_pc,layer_2q_pc,layer_gates_pc,vcg_layer_gates_pc,n_qubits_p,n_slack_p,sp_total_p,sp_1q_p,sp_2q_p,sp_gates_p,layer_total_p,layer_1q_p,layer_2q_p,layer_gates_p
1,"['3*x_1*x_1 + 1*x_1*x_0 + 3*x_1*x_2 + 4*x_1*x_3 + 5*x_0*x_0 + 4*x_0*x_2 + 2*x_0*x_3 + 2*x_2*x_2 + 4*x_2*x_3 + 4*x_3*x_3 <= 17', 'x_1 + x_4 <= 0']",cardinality+quadratic_knapsack,5,2, -2*x_0 + -3*x_0 x_1 + -2*x_0 x_2 + -3*x_0 x_3 + -1*x_0 x_4 + -5*x_1 + 2*x_1 x_2 + -1*x_1 x_3 + -4*x_1 x_4 + -2*x_2 + -4*x_2 x_3 + -1*x_2 x_4 + -5*x_3 + -5*x_3 x_4,"['cardinality', 'quadratic_knapsack']",10,5,1,1,False,False,5,5,0,{'Hadamard': 5},{},1440,657,783,"{'CNOT': 782, 'RZ': 644, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 8}",{},10,5,5,5,0,{'Hadamard': 5},659,659,784,"{'CNOT': 784, 'RZ': 649, 'RX': 10}"
2,"['x_0 + x_2 <= 0', 'x_1 + x_2 + x_3 == 2', 'x_1 + x_2 <= 1']",cardinality+cardinality+cardinality,4,3, 2*x_0 + -4*x_0 x_1 + 4*x_0 x_2 + -4*x_0 x_3 + 2*x_1 x_2 + 2*x_2,"['cardinality', 'cardinality', 'cardinality']",4,0,1,2,False,False,5,1,4,"{'RY': 1, 'CRY': 1, 'SWAP': 1, 'CNOT': 2}",{},61,36,25,"{'CNOT': 20, 'RZ': 27, 'RY': 2, 'CRY': 2, 'SWAP': 2, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 2}",{},5,1,1,1,0,{'Hadamard': 1},47,47,22,"{'CNOT': 22, 'RZ': 42, 'RX': 5}"
3,"['1*x_4*x_4 + 4*x_4*x_0 + 1*x_4*x_3 + 2*x_4*x_5 + 5*x_0*x_0 + 4*x_0*x_3 + 3*x_0*x_5 + 5*x_3*x_3 + 4*x_3*x_5 + 2*x_5*x_5 <= 18', '5*x_6*x_6 + 3*x_6*x_5 + 5*x_6*x_4 + 4*x_5*x_5 + 5*x_5*x_4 + 3*x_4*x_4 <= 14', 'x_4 + x_2 <= 2']",quadratic_knapsack+cardinality+quadratic_knapsack,7,3, 3*x_0 x_2 + 3*x_0 x_3 + 3*x_0 x_4 + -1*x_0 x_5 + 4*x_0 x_6 + -2*x_1 + -2*x_1 x_3 + 2*x_1 x_4 + -5*x_1 x_5 + 3*x_1 x_6 + 1*x_2 + -3*x_2 x_3 + -5*x_2 x_4 + 2*x_2 x_5 + 1*x_2 x_6 + 4*x_3 + -1*x_3 x_5 + -2*x_3 x_6 + -4*x_4 + 3*x_4 x_5 + -1*x_4 x_6 + -4*x_5 + 2*x_5 x_6 + -1*x_6,"['quadratic_knapsack', 'cardinality', 'quadratic_knapsack']",16,9,1,2,False,False,15,10,5,"{'Hadamard': 9, 'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 2}",{},1974,919,1055,"{'CNOT': 1048, 'RZ': 898, 'RY': 2, 'CRY': 4, 'SWAP': 2, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 14}",{},18,11,11,11,0,{'Hadamard': 11},942,942,1056,"{'CNOT': 1056, 'RZ': 924, 'RX': 18}"
4,"['1*x_2*x_2 + 2*x_2*x_0 + 1*x_2*x_1 + 1*x_0*x_0 + 5*x_0*x_1 + 1*x_1*x_1 <= 6', 'x_0 + x_2 >= 2']",quadratic_knapsack+cardinality,3,2, -4*x_0 + 3*x_0 x_1 + 2*x_0 x_2 + -4*x_1 + 1*x_1 x_2 + 3*x_2,"['quadratic_knapsack', 'cardinality']",3,0,1,1,True,True,0,0,0,{},{},24,16,8,"{'CNOT': 8, 'RZ': 13, 'RX': 3}",{},6,3,3,3,0,{'Hadamard': 3},223,223,212,"{'CNOT': 212, 'RZ': 217, 'RX': 6}"
5,"['x_1 + x_4 - x_2 - x_0 == 0', 'x_2 + x_3 + x_5 + x_0 >= 3', 'x_5 + x_2 + x_0 + x_3 + x_4 >= 0']",cardinality+cardinality+flow,6,3, 4*x_0 + -1*x_0 x_1 + 3*x_0 x_2 + -1*x_0 x_3 + -4*x_0 x_4 + 1*x_0 x_5 + 3*x_1 + 1*x_1 x_2 + -3*x_1 x_3 + -5*x_1 x_4 + -2*x_1 x_5 + -2*x_2 + -4*x_2 x_3 + -3*x_2 x_4 + 2*x_2 x_5 + -5*x_3 + -2*x_3 x_4 + 4*x_4 + -5*x_5,"['cardinality', 'cardinality', 'flow']",10,4,1,2,False,False,16,5,11,"{'Hadamard': 4, 'RY': 1, 'CRY': 3, 'CNOT': 6, 'SWAP': 2}",{},275,165,110,"{'CNOT': 110, 'RZ': 151, 'RY': 8, 'RX': 6}",{},10,4,4,4,0,{'Hadamard': 4},183,183,114,"{'CNOT': 114, 'RZ': 173, 'RX': 10}"
6,"['5*x_2*x_2 + 3*x_2*x_7 + 4*x_2*x_1 + 5*x_2*x_5 + 1*x_2*x_6 + 1*x_7*x_7 + 4*x_7*x_1 + 2*x_7*x_5 + 3*x_7*x_6 + 4*x_1*x_1 + 5*x_1*x_5 + 1*x_1*x_6 + 1*x_5*x_5 + 5*x_5*x_6 + 2*x_6*x_6 <= 17', '6*x_5 + 7*x_1 + 8*x_6 + 9*x_4 + 5*x_3 <= 14', 'x_6 + x_4 - x_3 == 0']",quadratic_knapsack+flow+knapsack,8,3, -3*x_0 + -3*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -5*x_0 x_6 + -5*x_0 x_7 + -4*x_1 + -2*x_1 x_2 + 1*x_1 x_3 + -4*x_1 x_4 + 2*x_1 x_6 + 1*x_1 x_7 + -4*x_2 x_3 + 4*x_2 x_4 + -2*x_2 x_5 + 3*x_2 x_6 + -3*x_2 x_7 + -1*x_3 + -3*x_3 x_4 + -2*x_3 x_5 + -2*x_3 x_6 + -3*x_3 x_7 + -2*x_4 + 1*x_4 x_5 + -5*x_4 x_6 + -1*x_4 x_7 + -4*x_5 + 3*x_5 x_6 + 2*x_5 x_7 + -2*x_6 x_7 + -3*x_7,"['quadratic_knapsack', 'flow', 'knapsack']",17,9,1,2,False,False,15,10,5,"{'Hadamard': 9, 'RY': 1, 'CRY': 1, 'CNOT': 3, 'SWAP': 1}",{},3373,1461,1912,"{'CNOT': 1912, 'RZ': 1441, 'RY': 6, 'RX': 14}",{},17,9,9,9,0,{'Hadamard': 9},1470,1470,1912,"{'CNOT': 1912, 'RZ': 1453, 'RX': 17}"
7,"['2*x_1*x_1 + 5*x_1*x_3 + 4*x_1*x_2 + 4*x_1*x_0 + 3*x_1*x_4 + 4*x_3*x_3 + 4*x_3*x_2 + 1*x_3*x_0 + 2*x_3*x_4 + 3*x_2*x_2 + 1*x_2*x_0 + 4*x_2*x_4 + 3*x_0*x_0 + 4*x_0*x_4 + 3*x_4*x_4 <= 16', 'x_3 + x_4 + x_2 <= 1']",quadratic_knapsack+cardinality,5,2, 3*x_0 + -4*x_0 x_1 + -5*x_0 x_2 + -3*x_0 x_3 + 1*x_0 x_4 + -4*x_1 + 3*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -5*x_2 x_3 + 2*x_2 x_4 + -2*x_3 + -3*x_3 x_4,"['quadratic_knapsack', 'cardinality']",10,5,1,1,False,False,13,6,7,"{'Hadamard': 5, 'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 4}",{},3127,1311,1815,"{'CNOT': 1808, 'RZ': 1295, 'RY': 2, 'CRY': 4, 'SWAP': 2, 'X': 6, 'PhaseShift': 1, 'CRZ': 1, 'C(RZ, num_ctrl_wires=2,num_zero_ctrl=0)': 1, 'RX': 7}",{},11,6,6,6,0,{'Hadamard': 6},1332,1332,1812,"{'CNOT': 1812, 'RZ': 1321, 'RX': 11}"
8,"['2*x_2*x_2 + 5*x_2*x_1 + 2*x_2*x_0 + 2*x_1*x_1 + 1*x_1*x_0 + 1*x_0*x_0 <= 7', '3*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 5*x_1*x_1 + 2*x_1*x_2 + 2*x_2*x_2 <= 8']",quadratic_knapsack+quadratic_knapsack,3,2, 2*x_0 + -1*x_0 x_1 + -2*x_0 x_2 + 3*x_1 x_2 + -1*x_2,"['quadratic_knapsack', 'quadratic_knapsack']",7,4,1,1,True,True,4,4,0,{'Hadamard': 4},{},510,258,252,"{'CNOT': 252, 'RZ': 251, 'RX': 7}",{},10,7,7,7,0,{'Hadamard': 7},465,465,456,"{'CNOT': 456, 'RZ': 455, 'RX': 10}"
9,"['3*x_5*x_5 + 1*x_5*x_6 + 3*x_5*x_1 + 5*x_6*x_6 + 2*x_6*x_1 + 2*x_1*x_1 <= 8', 'x_2 + x_4 + x_0 - x_7 - x_1 - x_5 == 0', 'x_4 + x_7 == 0']",cardinality+flow+quadratic_knapsack,8,3, 1*x_0 + -5*x_0 x_1 + -1*x_0 x_2 + 4*x_0 x_3 + -2*x_0 x_4 + 2*x_0 x_5 + -1*x_0 x_6 + 1*x_1 x_2 + -5*x_1 x_3 + -1*x_1 x_4 + 2*x_1 x_5 + 3*x_1 x_6 + -4*x_1 x_7 + -4*x_2 + -5*x_2 x_3 + -5*x_2 x_4 + -3*x_2 x_5 + 3*x_2 x_7 + -5*x_3 + -2*x_3 x_4 + -1*x_3 x_5 + -2*x_3 x_6 + -4*x_3 x_7 + -2*x_4 + 3*x_4 x_5 + -4*x_4 x_6 + 4*x_4 x_7 + -5*x_5 + -3*x_5 x_7 + -5*x_6 + -1*x_6 x_7,"['cardinality', 'flow', 'quadratic_knapsack']",8,0,2,1,True,True,0,0,0,{},{},178,94,84,"{'CNOT': 84, 'RZ': 84, 'RY': 4, 'RX': 6}",{},12,4,4,4,0,{'Hadamard': 4},346,346,328,"{'CNOT': 328, 'RZ': 334, 'RX': 12}"
10,"['3*x_1*x_1 + 1*x_1*x_3 + 5*x_1*x_5 + 2*x_1*x_4 + 5*x_1*x_2 + 2*x_3*x_3 + 5*x_3*x_5 + 5*x_3*x_4 + 5*x_3*x_2 + 2*x_5*x_5 + 3*x_5*x_4 + 3*x_5*x_2 + 4*x_4*x_4 + 1*x_4*x_2 + 5*x_2*x_2 <= 18', 'x_1 + x_4 >= 2', 'x_5*x_1 == 0']",quadratic_knapsack+cardinality+independent_set,6,3, -2*x_0 + -4*x_0 x_1 + 2*x_0 x_2 + 2*x_0 x_3 + 3*x_0 x_4 + -5*x_0 x_5 + -1*x_1 + 1*x_1 x_3 + -2*x_1 x_4 + -5*x_2 x_3 + 4*x_2 x_4 + 3*x_2 x_5 + 3*x_3 + -3*x_3 x_4 + 2*x_3 x_5 + -1*x_4 + 2*x_4 x_5 + 3*x_5,"['quadratic_knapsack', 'cardinality', 'independent_set']",11,5,1,2,False,False,10,6,4,"{'Hadamard': 5, 'RY': 1, 'CRY': 1, 'SWAP': 1, 'CNOT': 2}",{},3139,1322,1817,"{'CNOT': 1812, 'RZ': 1306, 'RY': 2, 'CRY': 2, 'SWAP': 2, 'X': 4, 'PhaseShift': 1, 'CRZ': 1, 'RX': 9}",{},11,5,5,5,0,{'Hadamard': 5},1320,1320,1810,"{'CNOT': 1810, 'RZ': 1309, 'RX': 11}"
