constraints_hash,constraint_type,n_x,n_c,qubo_string,has_feasible_solution,n_layers_h,total_time_hr_h,AR_h,AR_feas_h,p_feasible_h,p_optimal_h,converged_h,finished_h,n_layers_p,total_time_hr_p,AR_p,AR_feas_p,p_feasible_p,p_optimal_p,converged_p,finished_p,max_total_time_hr,min_total_time_hr
"['x_0 + x_1 - x_2 == 0', 'x_2 + x_0 + x_1 <= 0']",cardinality+flow,3,2, -4*x_0 + 3*x_0 x_1 + -2*x_0 x_2 + -2*x_1 + -2*x_1 x_2,True,1,0.0008669700225194296,0.9240506329113924,,1.0,1.0,True,True,1.0,0.0008754436837302313,0.9979245832259753,,0.9944,0.9944,True,True,0.0008754436837302313,0.0008669700225194296
"['x_3 + x_0 - x_1 == 0', 'x_3 - x_0 - x_2 - x_1 == 0']",flow+flow,4,2, -3*x_0 + -3*x_0 x_2 + -3*x_0 x_3 + -5*x_1 + -4*x_1 x_2 + -2*x_2 + 3*x_2 x_3 + -2*x_3,True,1,0.0007831366856892903,0.9313458021809223,0.7326000000000001,0.9872,0.7326,True,True,1.0,0.0011403489112854005,0.9835032437290608,0.4838,0.9726,0.4838,True,True,0.0011403489112854005,0.0007831366856892903
"['x_2 + x_0 + x_3 - x_4 == 0', 'x_3 + x_2 == 0']",cardinality+flow,5,2, -3*x_0 + -1*x_0 x_2 + -5*x_0 x_3 + 2*x_0 x_4 + 1*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -2*x_2 + -2*x_2 x_3 + 1*x_2 x_4 + 1*x_3 + -2*x_3 x_4 + -2*x_4,True,1,0.001133664051691691,0.9827578236178671,0.9217,0.9319,0.9013,True,True,1.0,0.0012925268544091118,0.9860394154204268,0.45954999999999996,0.9283,0.4351,True,True,0.0012925268544091118,0.001133664051691691
"['x_2 + x_3 >= 0', 'x_3 + x_0 + x_2 == 3']",cardinality+cardinality,4,2, -3*x_0 + -3*x_0 x_2 + -3*x_0 x_3 + -5*x_1 + -4*x_1 x_2 + -2*x_2 + 3*x_2 x_3 + -2*x_3,True,1,0.001034056544303894,0.996466343482226,0.9363000000000004,1.0,0.9363,True,True,1.0,0.0013951230711407132,0.9717165411388733,0.7715000000000001,0.7778,0.7715,True,True,0.0013951230711407132,0.001034056544303894
"['x_1 + x_0 <= 1', 'x_1 + x_0 >= 1', 'x_3 + x_0 + x_1 == 2']",cardinality+cardinality+cardinality,4,3, -4*x_0 + 1*x_0 x_1 + 1*x_0 x_2 + -2*x_0 x_3 + -1*x_1 + -2*x_1 x_2 + -3*x_1 x_3 + -5*x_2 + -2*x_2 x_3 + -3*x_3,True,1,0.0011263846026526557,0.9745051507670791,0.29157777777777777,0.978,0.0834,True,True,1.0,0.001469597816467285,0.9710193248331396,0.6612444444444446,0.8879,0.4102,True,True,0.001469597816467285,0.0011263846026526557
"['x_1 + x_0 + x_2 >= 0', 'x_2 + x_1 + x_0 >= 2']",cardinality+cardinality,3,2, 3*x_0 + 1*x_0 x_2 + -3*x_1 + -1*x_1 x_2 + -4*x_2,True,1,0.0009973841243320041,0.9253448147476008,0.46649999999999997,0.8097,0.3438,True,True,1.0,0.0015355363819334242,0.9794334907532783,0.48695,0.9818,0.4827,True,True,0.0015355363819334242,0.0009973841243320041
"['2*x_1 + 6*x_2 + 1*x_0 <= 3', '4*x_2*x_2 + 4*x_2*x_3 + 1*x_2*x_1 + 5*x_2*x_0 + 5*x_3*x_3 + 5*x_3*x_1 + 5*x_3*x_0 + 1*x_1*x_1 + 4*x_1*x_0 + 1*x_0*x_0 <= 11']",quadratic_knapsack+knapsack,4,2, 1*x_0 + -4*x_0 x_1 + 3*x_0 x_2 + 1*x_0 x_3 + -3*x_1 x_2 + -5*x_1 x_3 + -3*x_2 + -5*x_2 x_3 + -3*x_3,True,1,0.001582518352402581,0.9505494443510989,0.14216666666666666,0.8208,0.0497,True,True,,,,,,,,False,0.001582518352402581,0.001582518352402581
"['x_2 + x_0 + x_3 + x_1 + x_4 == 2', 'x_3 + x_0 == 1']",cardinality+cardinality,5,2, -3*x_0 + -4*x_0 x_1 + -5*x_0 x_2 + -4*x_0 x_3 + -2*x_0 x_4 + -4*x_1 + -1*x_1 x_2 + -3*x_1 x_3 + -2*x_1 x_4 + -5*x_2 + 4*x_2 x_3 + 1*x_2 x_4 + -2*x_3 + -4*x_3 x_4 + 1*x_4,True,1,0.0008631577094395955,0.8618776447668152,0.8736599999999999,0.9825,0.789,True,True,1.0,0.0015874209006627401,0.9930635857718911,0.66553,0.983,0.0001,True,True,0.0015874209006627401,0.0008631577094395955
"['x_2 + x_3 - x_1 - x_0 == 0', 'x_3 + x_2 <= 2']",cardinality+flow,4,2, -4*x_0 + 4*x_0 x_1 + 1*x_0 x_2 + -5*x_0 x_3 + 1*x_1 + 1*x_1 x_2 + 4*x_1 x_3 + 3*x_2 + -1*x_2 x_3 + -4*x_3,True,1,0.0013555608855353462,0.971119418090546,0.87345,0.9212,0.8551,True,True,1.0,0.0018808748986985948,0.9731721721090385,0.5841166666666666,0.9234,0.4537,True,True,0.0018808748986985948,0.0013555608855353462
"['x_0 + x_1 + x_3 <= 3', 'x_0 + x_3 <= 1', 'x_0 + x_3 == 1']",assignment+cardinality+cardinality,5,3, -3*x_0 + -1*x_0 x_2 + -5*x_0 x_3 + 2*x_0 x_4 + 1*x_1 + -4*x_1 x_2 + -3*x_1 x_3 + -3*x_1 x_4 + -2*x_2 + -2*x_2 x_3 + 1*x_2 x_4 + 1*x_3 + -2*x_3 x_4 + -2*x_4,True,1,0.0024198609590530395,0.9807202930995615,0.9865625,1.0,0.9526,True,True,1.0,0.0023741683695051403,0.9740650461004969,0.41922500000000007,0.9641,0.0467,True,True,0.0024198609590530395,0.0023741683695051403
