vcg_key,constraint_type,constraints,n_x,n_layers,sp_total,sp_1q,sp_2q,sp_gates
2*x_0 + 7*x_1 + 7*x_2 <= 7,knapsack,['2*x_0 + 7*x_1 + 7*x_2 <= 7'],3,0,8,1,7,"{'RY': 1, 'CRY': 2, 'SWAP': 1, 'CNOT': 4, 'CC_RY': 0, 'CSWAP': 0}"
2*x_0 + 10*x_1 + 4*x_2 <= 6,knapsack,['2*x_0 + 10*x_1 + 4*x_2 <= 6'],3,1,7,7,0,"{'Hadamard': 3, 'RZ': 1, 'RX': 3}"
7*x_0 + 10*x_1 + 9*x_2 <= 8,knapsack,['7*x_0 + 10*x_1 + 9*x_2 <= 8'],3,1,11,9,2,"{'Hadamard': 3, 'CNOT': 2, 'RZ': 3, 'RX': 3}"
10*x_0 + 1*x_1 + 9*x_2 <= 7,knapsack,['10*x_0 + 1*x_1 + 9*x_2 <= 7'],3,1,11,9,2,"{'Hadamard': 3, 'CNOT': 2, 'RZ': 3, 'RX': 3}"
2*x_0 + 6*x_1 + 1*x_2 <= 3,knapsack,['2*x_0 + 6*x_1 + 1*x_2 <= 3'],3,1,7,7,0,"{'Hadamard': 3, 'RZ': 1, 'RX': 3}"
10*x_0 + 8*x_1 + 10*x_2 <= 9,knapsack,['10*x_0 + 8*x_1 + 10*x_2 <= 9'],3,1,11,9,2,"{'Hadamard': 3, 'CNOT': 2, 'RZ': 3, 'RX': 3}"
5*x_0 + 4*x_1 + 1*x_2 <= 6,knapsack,['5*x_0 + 4*x_1 + 1*x_2 <= 6'],3,1,11,9,2,"{'Hadamard': 3, 'CNOT': 2, 'RZ': 3, 'RX': 3}"
6*x_0 + 2*x_1 + 2*x_2 <= 3,knapsack,['6*x_0 + 2*x_1 + 2*x_2 <= 3'],3,1,23,13,10,"{'Hadamard': 3, 'CNOT': 10, 'RZ': 7, 'RX': 3}"
2*x_0 + 5*x_1 + 2*x_2 <= 5,knapsack,['2*x_0 + 5*x_1 + 2*x_2 <= 5'],3,3,63,33,30,"{'Hadamard': 3, 'CNOT': 30, 'RZ': 21, 'RX': 9}"
3*x_0 + 8*x_1 + 3*x_2 <= 5,knapsack,['3*x_0 + 8*x_1 + 3*x_2 <= 5'],3,5,103,53,50,"{'Hadamard': 3, 'CNOT': 50, 'RZ': 35, 'RX': 15}"
9*x_0 + 9*x_1 + 4*x_2 + 1*x_3 <= 9,knapsack,['9*x_0 + 9*x_1 + 4*x_2 + 1*x_3 <= 9'],4,2,66,30,36,"{'Hadamard': 4, 'CNOT': 36, 'RZ': 18, 'RX': 8}"
1*x_0 + 3*x_1 + 9*x_2 + 8*x_3 <= 10,knapsack,['1*x_0 + 3*x_1 + 9*x_2 + 8*x_3 <= 10'],4,8,100,68,32,"{'Hadamard': 4, 'CNOT': 32, 'RZ': 32, 'RX': 32}"
4*x_0 + 6*x_1 + 1*x_2 + 1*x_3 <= 6,knapsack,['4*x_0 + 6*x_1 + 1*x_2 + 1*x_3 <= 6'],4,5,269,99,170,"{'Hadamard': 4, 'CNOT': 170, 'RZ': 75, 'RX': 20}"
