instance_id,constraint,family,support,status,gate_set,representation,condition,selected_depth,fidelity,n_decision,n_slack,n_allocated,gate_counts,total_gates,algo_wires,zeroed_wires,any_state_wires,total_wires,one_qubit_gates,two_qubit_gates,t_gates
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,nisq,gadget,feasibility,1.0,0.9999999980832435,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,ftqc,gadget,feasibility,1.0,0.9999999980832435,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,nisq,gadget,fidelity,1.0,0.9999999980832335,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,ftqc,gadget,fidelity,1.0,0.9999999980832335,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,nisq,gadget,lambda_0.5,1.0,0.9999999980832331,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,ftqc,gadget,lambda_0.5,1.0,0.9999999980832331,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,nisq,gadget,lambda_1,1.0,0.9999999980832331,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,ftqc,gadget,lambda_1,1.0,0.9999999980832331,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,nisq,gadget,lambda_2,1.0,0.9999999980832335,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,ftqc,gadget,lambda_2,1.0,0.9999999980832335,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,nisq,penalty_cost_layer,unit_penalty,,,4,0,4,"{'CNOT': 12, 'RZ': 10}",22,4,0,0,4,10,12,0
a_4_equality_01,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,equality,4,complete,ftqc,penalty_cost_layer,unit_penalty,,,4,0,4,"{'CNOT': 12, 'T': 440}",452,4,0,0,4,440,12,440
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,nisq,gadget,feasibility,1.0,0.9999999980843874,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,ftqc,gadget,feasibility,1.0,0.9999999980843874,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,nisq,gadget,fidelity,1.0,0.9999999980843771,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,ftqc,gadget,fidelity,1.0,0.9999999980843771,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,nisq,gadget,lambda_0.5,1.0,0.9999999980843771,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,ftqc,gadget,lambda_0.5,1.0,0.9999999980843771,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,nisq,gadget,lambda_1,1.0,0.9999999980843771,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,ftqc,gadget,lambda_1,1.0,0.9999999980843771,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,nisq,gadget,lambda_2,1.0,0.9999999980843771,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'RZ': 7, 'RX': 4}",33,4,0,0,4,15,18,0
a_4_equality_02,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,equality,4,complete,ftqc,gadget,lambda_2,1.0,0.9999999980843771,4,0,4,"{'Hadamard': 4, 'CNOT': 18, 'T': 484}",506,4,0,0,4,488,18,484
