instance_id,n_decision,support,regime,condition,constraint,constraint_index,family,representation,status,gadget_kind,n_slack,n_allocated,gate_set,gate_counts,total_gates,algo_wires,zeroed_wires,any_state_wires,total_wires,one_qubit_gates,two_qubit_gates,t_gates,delta,depth,prep_gates,layer_gates,expanded_layer_gates
b_4_disjoint_01,4,4,disjoint,constraint_component,x_0 + x_1 == 2,0.0,cardinality,gadget,complete,dicke,0,2,nisq,{'X': 2},2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,
b_4_disjoint_01,4,4,disjoint,constraint_component,x_0 + x_1 == 2,0.0,cardinality,gadget,complete,dicke,0,2,ftqc,"{'Hadamard': 4, 'S': 4}",8.0,2.0,0.0,0.0,2.0,8.0,0.0,0.0,,,,,
b_4_disjoint_01,4,4,disjoint,constraint_component,x_0 + x_1 == 2,0.0,cardinality,penalty_cost_layer,complete,dicke,0,4,nisq,"{'CNOT': 2, 'RZ': 3}",5.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,,,,,
b_4_disjoint_01,4,4,disjoint,constraint_component,x_0 + x_1 == 2,0.0,cardinality,penalty_cost_layer,complete,dicke,0,4,ftqc,"{'CNOT': 2, 'T': 132}",134.0,2.0,0.0,0.0,2.0,132.0,2.0,132.0,,,,,
b_4_disjoint_01,4,4,disjoint,constraint_component,x_2 + x_3 >= 2,1.0,cardinality,gadget,complete,geq,0,2,nisq,{'X': 2},2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,
b_4_disjoint_01,4,4,disjoint,constraint_component,x_2 + x_3 >= 2,1.0,cardinality,gadget,complete,geq,0,2,ftqc,"{'Hadamard': 4, 'S': 4}",8.0,2.0,0.0,0.0,2.0,8.0,0.0,0.0,,,,,
b_4_disjoint_01,4,4,disjoint,constraint_component,x_2 + x_3 >= 2,1.0,cardinality,penalty_cost_layer,complete,geq,0,4,nisq,"{'CNOT': 2, 'RZ': 3}",5.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,,,,,
b_4_disjoint_01,4,4,disjoint,constraint_component,x_2 + x_3 >= 2,1.0,cardinality,penalty_cost_layer,complete,geq,0,4,ftqc,"{'CNOT': 2, 'T': 132}",134.0,2.0,0.0,0.0,2.0,132.0,2.0,132.0,,,,,
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 12, 'RZ': 10, 'RX': 4}",30.0,4.0,0.0,0.0,4.0,18.0,12.0,0.0,16.0,1.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 24, 'RZ': 20, 'RX': 8}",56.0,4.0,0.0,0.0,4.0,32.0,24.0,0.0,16.0,2.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 36, 'RZ': 30, 'RX': 12}",82.0,4.0,0.0,0.0,4.0,46.0,36.0,0.0,16.0,3.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 48, 'RZ': 40, 'RX': 16}",108.0,4.0,0.0,0.0,4.0,60.0,48.0,0.0,16.0,4.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 60, 'RZ': 50, 'RX': 20}",134.0,4.0,0.0,0.0,4.0,74.0,60.0,0.0,16.0,5.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 12, 'T': 616}",632.0,4.0,0.0,0.0,4.0,620.0,12.0,616.0,16.0,1.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 24, 'T': 1232}",1260.0,4.0,0.0,0.0,4.0,1236.0,24.0,1232.0,16.0,2.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 36, 'T': 1848}",1888.0,4.0,0.0,0.0,4.0,1852.0,36.0,1848.0,16.0,3.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 48, 'T': 2464}",2516.0,4.0,0.0,0.0,4.0,2468.0,48.0,2464.0,16.0,4.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,feasible,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 60, 'T': 3080}",3144.0,4.0,0.0,0.0,4.0,3084.0,60.0,3080.0,16.0,5.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 12, 'RZ': 10, 'RX': 4}",30.0,4.0,0.0,0.0,4.0,18.0,12.0,0.0,16.0,1.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 24, 'RZ': 20, 'RX': 8}",56.0,4.0,0.0,0.0,4.0,32.0,24.0,0.0,16.0,2.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 36, 'RZ': 30, 'RX': 12}",82.0,4.0,0.0,0.0,4.0,46.0,36.0,0.0,16.0,3.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 48, 'RZ': 40, 'RX': 16}",108.0,4.0,0.0,0.0,4.0,60.0,48.0,0.0,16.0,4.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 60, 'RZ': 50, 'RX': 20}",134.0,4.0,0.0,0.0,4.0,74.0,60.0,0.0,16.0,5.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 12, 'T': 616}",632.0,4.0,0.0,0.0,4.0,620.0,12.0,616.0,16.0,1.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 24, 'T': 1232}",1260.0,4.0,0.0,0.0,4.0,1236.0,24.0,1232.0,16.0,2.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 36, 'T': 1848}",1888.0,4.0,0.0,0.0,4.0,1852.0,36.0,1848.0,16.0,3.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 48, 'T': 2464}",2516.0,4.0,0.0,0.0,4.0,2468.0,48.0,2464.0,16.0,4.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,local,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 60, 'T': 3080}",3144.0,4.0,0.0,0.0,4.0,3084.0,60.0,3080.0,16.0,5.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 12, 'RZ': 10, 'RX': 4}",30.0,4.0,0.0,0.0,4.0,18.0,12.0,0.0,6.0,1.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 24, 'RZ': 20, 'RX': 8}",56.0,4.0,0.0,0.0,4.0,32.0,24.0,0.0,6.0,2.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 36, 'RZ': 30, 'RX': 12}",82.0,4.0,0.0,0.0,4.0,46.0,36.0,0.0,6.0,3.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 48, 'RZ': 40, 'RX': 16}",108.0,4.0,0.0,0.0,4.0,60.0,48.0,0.0,6.0,4.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,nisq,"{'Hadamard': 4, 'CNOT': 60, 'RZ': 50, 'RX': 20}",134.0,4.0,0.0,0.0,4.0,74.0,60.0,0.0,6.0,5.0,4.0,26.0,44.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 12, 'T': 616}",632.0,4.0,0.0,0.0,4.0,620.0,12.0,616.0,6.0,1.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 24, 'T': 1232}",1260.0,4.0,0.0,0.0,4.0,1236.0,24.0,1232.0,6.0,2.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 36, 'T': 1848}",1888.0,4.0,0.0,0.0,4.0,1852.0,36.0,1848.0,6.0,3.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 48, 'T': 2464}",2516.0,4.0,0.0,0.0,4.0,2468.0,48.0,2464.0,6.0,4.0,4.0,628.0,1248.0
b_4_disjoint_01,4,4,disjoint,maximum,,,,full_penalty_qaoa,complete,,0,4,ftqc,"{'Hadamard': 4, 'CNOT': 60, 'T': 3080}",3144.0,4.0,0.0,0.0,4.0,3084.0,60.0,3080.0,6.0,5.0,4.0,628.0,1248.0
