id,support,family,constraint,feasible_mask,feasible_count,feasible_fraction
a_4_equality_01,4,equality,1*x_0 + 5*x_1 + 5*x_2 + 2*x_3 == 7,"[False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False]",2,0.125
a_4_equality_02,4,equality,5*x_0 + 3*x_1 + 5*x_2 + 4*x_3 == 9,"[False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False]",2,0.125
a_4_mixed_01,4,mixed,-1*x_0 + 4*x_1 - 4*x_2 + 3*x_3 <= 0,"[True, False, True, True, False, False, True, False, True, False, True, True, False, False, True, False]",8,0.5
a_4_mixed_02,4,mixed,-1*x_0 - 5*x_1 + 3*x_2 + 3*x_3 <= 1,"[True, False, False, False, True, True, True, True, True, False, False, False, True, True, True, True]",10,0.625
a_4_mixed_03,4,mixed,-3*x_0 - 5*x_1 - 3*x_2 + 3*x_3 <= -2,"[False, False, True, False, True, True, True, True, True, False, True, True, True, True, True, True]",12,0.75
a_4_positive_01,4,positive,5*x_0 + 4*x_1 + 2*x_2 + 3*x_3 <= 4,"[True, True, True, False, True, False, False, False, False, False, False, False, False, False, False, False]",4,0.25
a_4_positive_02,4,positive,1*x_0 + 4*x_1 + 3*x_2 + 5*x_3 <= 6,"[True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False]",8,0.5
a_4_positive_03,4,positive,4*x_0 + 4*x_1 + 3*x_2 + 4*x_3 <= 7,"[True, True, True, True, True, False, True, False, True, False, True, False, False, False, False, False]",8,0.5
a_4_quadratic_01,4,quadratic,1*x_0*x_0 + 1*x_0*x_1 + 3*x_0*x_2 + 1*x_0*x_3 + 2*x_1*x_1 + 2*x_1*x_2 + 1*x_1*x_3 + 3*x_2*x_2 + 1*x_2*x_3 + 1*x_3*x_3 <= 7,"[True, True, True, True, True, True, True, False, True, True, True, False, True, True, False, False]",12,0.75
a_4_quadratic_02,4,quadratic,1*x_0*x_0 + 1*x_0*x_1 + 1*x_0*x_2 + 1*x_0*x_3 + 2*x_1*x_1 + 1*x_1*x_2 + 2*x_1*x_3 + 1*x_2*x_2 + 3*x_2*x_3 + 2*x_3*x_3 <= 7,"[True, True, True, True, True, True, True, False, True, True, True, False, True, False, True, False]",12,0.75
a_5_equality_01,5,equality,3*x_0 + 1*x_1 + 4*x_2 + 3*x_3 + 2*x_4 == 5,"[False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",3,0.09375
a_5_equality_02,5,equality,3*x_0 + 4*x_1 + 5*x_2 + 3*x_3 + 1*x_4 == 9,"[False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False]",3,0.09375
a_5_equality_03,5,equality,4*x_0 + 4*x_1 + 1*x_2 + 2*x_3 + 4*x_4 == 9,"[False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False]",3,0.09375
a_5_mixed_01,5,mixed,-4*x_0 + 1*x_1 - 2*x_2 + 3*x_3 + 3*x_4 <= 2,"[True, False, False, False, True, True, True, False, True, False, False, False, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True]",23,0.71875
a_5_mixed_02,5,mixed,4*x_0 - 2*x_1 - 5*x_2 - 3*x_3 + 2*x_4 <= -4,"[False, False, False, False, True, False, True, True, False, False, True, False, True, True, True, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, True]",11,0.34375
a_5_positive_01,5,positive,4*x_0 + 2*x_1 + 2*x_2 + 3*x_3 + 1*x_4 <= 5,"[True, True, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",14,0.4375
a_5_positive_02,5,positive,5*x_0 + 2*x_1 + 2*x_2 + 1*x_3 + 4*x_4 <= 5,"[True, True, True, True, True, False, True, False, True, False, True, False, True, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",11,0.34375
a_5_quadratic_01,5,quadratic,1*x_0*x_0 + 3*x_0*x_1 + 1*x_0*x_2 + 3*x_0*x_3 + 3*x_0*x_4 + 2*x_1*x_1 + 2*x_1*x_2 + 2*x_1*x_3 + 3*x_1*x_4 + 2*x_2*x_2 + 1*x_2*x_3 + 1*x_2*x_4 + 3*x_3*x_3 + 3*x_3*x_4 + 2*x_4*x_4 <= 12,"[True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, False, False, False, True, False, False, False]",22,0.6875
a_5_quadratic_02,5,quadratic,3*x_0*x_0 + 1*x_0*x_1 + 1*x_0*x_2 + 2*x_0*x_3 + 3*x_0*x_4 + 3*x_1*x_1 + 1*x_1*x_2 + 3*x_1*x_3 + 1*x_1*x_4 + 2*x_2*x_2 + 1*x_2*x_3 + 3*x_2*x_4 + 2*x_3*x_3 + 1*x_3*x_4 + 1*x_4*x_4 <= 12,"[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, False, True, True, False, False, True, False, False, False]",24,0.75
a_5_quadratic_03,5,quadratic,2*x_0*x_0 + 2*x_0*x_1 + 1*x_0*x_2 + 3*x_0*x_3 + 1*x_0*x_4 + 2*x_1*x_1 + 1*x_1*x_2 + 2*x_1*x_3 + 2*x_1*x_4 + 3*x_2*x_2 + 2*x_2*x_3 + 2*x_2*x_4 + 3*x_3*x_3 + 2*x_3*x_4 + 3*x_4*x_4 <= 12,"[True, True, True, True, True, True, True, False, True, True, True, False, True, False, False, False, True, True, True, False, True, True, False, False, True, True, False, False, True, False, False, False]",19,0.59375
a_6_equality_01,6,equality,4*x_0 + 3*x_1 + 3*x_2 + 1*x_3 + 3*x_4 + 4*x_5 == 8,"[False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False]",7,0.109375
a_6_equality_02,6,equality,4*x_0 + 1*x_1 + 2*x_2 + 3*x_3 + 5*x_4 + 2*x_5 == 6,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, False, False, False, False, False, True, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",5,0.078125
a_6_mixed_01,6,mixed,-3*x_0 + 5*x_1 + 5*x_2 - 2*x_3 + 5*x_4 - 2*x_5 <= 6,"[True, True, True, True, True, True, True, True, True, True, False, False, True, True, False, True, True, True, False, False, True, True, False, True, False, False, False, False, False, True, False, False, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, False, True, False, False, True, True, False, False]",44,0.6875
a_6_mixed_02,6,mixed,1*x_0 - 4*x_1 + 4*x_2 + 4*x_3 - 4*x_4 + 3*x_5 <= 2,"[True, False, True, True, False, False, True, False, False, False, True, False, False, False, False, False, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, False, True, False, True, True, False, False, True, False, False, False, True, False, False, False, False, False, True, True, True, True, True, False, True, True, True, False, True, True, False, False, True, False]",32,0.5
a_6_mixed_03,6,mixed,1*x_0 - 1*x_1 + 2*x_2 + 1*x_3 - 3*x_4 + 4*x_5 <= 2,"[True, False, True, True, True, False, True, True, True, False, True, False, False, False, True, False, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, False, True, False, True, True, True, False, True, False, False, False, True, False, False, False, True, False, True, False, True, True, True, False, True, True, True, False, True, False, False, False, True, False]",36,0.5625
