constraints,families,n_x,structural_indices,penalty_indices,id,regime,Q,n_slack,n_total,pc_n_slack,n_structural,n_penalty,objective_seed,feasible_point,feasibility_search_seed,feasibility_search_attempts,feasibility_search_seconds,feasible_mask,objective_values,optimal_indices,f_star,f_max_feasible,f_min_unconstrained,feasible_fraction
"['x_0 + x_1 == 2', 'x_2 + x_3 >= 2']","['cardinality', 'cardinality']",4,"[0, 1]",[],b_4_disjoint_01,disjoint,"[[-1, 1, -5, -5], [0, 4, 2, -2], [0, 0, -1, 4], [0, 0, 0, 4]]",0,4,0,2,0,20042,1111,30042,7,0.00023903325200080872,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]","[0, 4, -1, 7, 4, 6, 5, 11, -1, -2, -7, -4, 4, 1, 0, 1]",[15],1.0,1.0,-7.0,0.0625
"['x_0*x_1 == 0', 'x_2 + x_3 == 1']","['independent_set', 'assignment']",4,"[0, 1]",[],b_4_disjoint_02,disjoint,"[[-1, -2, 4, 0], [0, 2, -2, -4], [0, 0, 3, -2], [0, 0, 0, 1]]",0,4,0,2,0,20043,0010,30043,5,0.0001786709763109684,"[False, True, True, False, False, True, True, False, False, True, True, False, False, False, False, False]","[0, 1, 3, 2, 2, -1, 3, -2, -1, 0, 6, 5, -1, -4, 4, -1]",[5],-1.0,6.0,-4.0,0.375
"['1*x_0*x_0 + 1*x_0*x_3 + 3*x_0*x_1 + 2*x_0*x_2 + 1*x_3*x_3 + 2*x_3*x_1 + 3*x_3*x_2 + 2*x_1*x_1 + 3*x_1*x_2 + 3*x_2*x_2 <= 7', '5*x_0 + 4*x_2 + 1*x_1 <= 6', '4*x_1*x_1 + 4*x_1*x_0 + 1*x_1*x_3 + 5*x_1*x_2 + 5*x_0*x_0 + 5*x_0*x_3 + 5*x_0*x_2 + 1*x_3*x_3 + 4*x_3*x_2 + 1*x_2*x_2 <= 11']","['quadratic_knapsack', 'knapsack', 'quadratic_knapsack']",4,[0],"[1, 2]",b_4_overlapping_01,overlapping,"[[-5, -5, -5, -3], [0, -2, 2, -2], [0, 0, 1, 1], [0, 0, 0, -4]]",10,14,7,1,2,20044,0100,30044,1,0.00014932220801711082,"[True, True, True, True, True, True, False, False, True, True, False, False, False, False, False, False]","[0, -4, 1, -2, -2, -8, 1, -4, -5, -12, -9, -15, -12, -21, -14, -22]",[9],-12.0,1.0,-22.0,0.5
"['10*x_2 + 8*x_3 + 10*x_0 <= 9', '8*x_2 + 5*x_3 + 7*x_0 + 4*x_1 <= 11', 'x_3 + x_1 - x_2 - x_0 == 0']","['knapsack', 'knapsack', 'flow']",4,[2],"[0, 1]",b_4_overlapping_02,overlapping,"[[3, 3, -2, 3], [0, 2, -1, -5], [0, 0, -1, -1], [0, 0, 0, -4]]",8,12,8,1,2,20045,0000,30045,6,0.00014215707778930664,"[True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, -4, -1, -6, 2, -7, 0, -10, 3, 2, 0, -2, 8, 2, 4, -3]",[0],0.0,0.0,-10.0,0.0625
"['x_0 + x_1 >= 0', '5*x_2*x_2 + 1*x_2*x_3 + 2*x_2*x_4 + 5*x_3*x_3 + 1*x_3*x_4 + 3*x_4*x_4 <= 6']","['cardinality', 'quadratic_knapsack']",5,"[0, 1]",[],b_5_disjoint_01,disjoint,"[[4, 3, -2, -3, -3], [0, 0, -1, 1, -4], [0, 0, -4, -1, -1], [0, 0, 0, 4, 4], [0, 0, 0, 0, -2]]",5,10,0,2,0,20046,01000,30046,2,0.000128129031509161,"[True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False, True, True, True, False, True, False, False, False]","[0, -2, 4, 6, -4, -7, -1, 0, 0, -6, 5, 3, -5, -12, -1, -4, 4, -1, 5, 4, -2, -8, -2, -4, 7, -2, 9, 4, 0, -10, 1, -5]",[9],-6.0,9.0,-12.0,0.5
"['x_0 - x_1 == 0', 'x_2 + x_3 + x_4 == 1']","['flow', 'assignment']",5,"[0, 1]",[],b_5_disjoint_02,disjoint,"[[3, 1, -1, -2, 2], [0, -3, 4, -4, -1], [0, 0, -2, -5, 3], [0, 0, 0, 0, -4], [0, 0, 0, 0, 1]]",0,5,0,2,0,20047,11100,30047,2,0.00011903513222932816,"[False, True, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, False, True, False, False, False]","[0, 1, 0, -3, -2, 2, -7, -7, -3, -3, -7, -11, -1, 2, -10, -11, 3, 6, 1, 0, 0, 6, -7, -5, 1, 3, -5, -7, 2, 7, -9, -8]",[26],-5.0,3.0,-11.0,0.1875
"['3*x_0*x_0 + 1*x_0*x_2 + 3*x_0*x_4 + 1*x_2*x_2 + 4*x_2*x_4 + 3*x_4*x_4 <= 5', 'x_3 + x_1 >= 2', 'x_4 + x_2 + x_1 >= 1']","['quadratic_knapsack', 'cardinality', 'cardinality']",5,"[0, 1]",[2],b_5_overlapping_01,overlapping,"[[3, -5, 3, 4, -3], [0, 4, 2, -3, 0], [0, 0, -3, 0, 4], [0, 0, 0, -4, -5], [0, 0, 0, 0, -3]]",5,10,2,2,1,20048,11010,30048,11,0.00018394691869616508,"[False, False, False, False, False, False, False, False, False, False, True, True, False, False, True, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False]","[0, -3, -4, -12, -3, -2, -7, -11, 4, 1, -3, -11, 3, 4, -4, -8, 3, -3, 3, -8, 3, 1, 3, -4, 2, -4, -1, -12, 4, 2, 1, -6]",[11],-11.0,1.0,-12.0,0.15625
"['1*x_1 + 6*x_4 + 9*x_0 + 8*x_3 + 9*x_2 <= 18', '8*x_2 + 5*x_0 + 7*x_1 + 4*x_3 <= 11']","['knapsack', 'knapsack']",5,[0],[1],b_5_overlapping_02,overlapping,"[[0, -4, -5, 4, -3], [0, -1, -3, 0, 0], [0, 0, 3, -5, -3], [0, 0, 0, 3, 2], [0, 0, 0, 0, -1]]",9,14,4,1,1,20049,00010,30049,2,0.00010250788182020187,"[True, True, True, True, True, True, False, False, True, True, True, True, False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]","[0, -1, 3, 4, 3, -1, 1, -1, -1, -2, 2, 3, -1, -5, -3, -5, 0, -4, 7, 5, -2, -9, 0, -5, -5, -9, 2, 0, -10, -17, -8, -13]",[17],-4.0,7.0,-17.0,0.40625
"['x_0 - x_1 - x_2 == 0', 'x_3 + x_4 - x_5 == 0']","['flow', 'flow']",6,"[0, 1]",[],b_6_disjoint_01,disjoint,"[[3, -4, 2, -5, 2, -1], [0, -1, 2, 1, 4, -5], [0, 0, 2, -5, -2, 1], [0, 0, 0, -1, 2, -2], [0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 0, 4]]",0,6,0,2,0,20050,101000,30050,1,0.00017133820801973343,"[True, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, False, True, False, False, True, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False]","[0, 4, 2, 8, -1, 1, 3, 7, 2, 7, 2, 9, -4, -1, -2, 3, -1, -2, 5, 6, -1, -4, 7, 6, 3, 3, 7, 9, -2, -4, 4, 4, 3, 6, 7, 12, -3, -2, 3, 6, 7, 11, 9, 15, -4, -2, 0, 4, -2, -4, 6, 6, -7, -11, 3, 1, 4, 3, 10, 11, -6, -9, 2, 1]",[53],-11.0,15.0,-11.0,0.140625
"['x_0 + x_1 + x_2 + x_3 <= 4', 'x_4*x_5 == 0']","['cardinality', 'independent_set']",6,"[0, 1]",[],b_6_disjoint_02,disjoint,"[[-4, -2, -4, -4, 0, 2], [0, -5, -1, -3, -2, -1], [0, 0, -4, -4, -3, 0], [0, 0, 0, -2, -2, 2], [0, 0, 0, 0, -3, -1], [0, 0, 0, 0, 0, 2]]",3,9,0,2,0,20051,100010,30051,1,0.00010865507647395134,"[True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False]","[0, 2, -3, -2, -2, 2, -7, -4, -4, -2, -10, -9, -10, -6, -18, -15, -5, -4, -10, -10, -10, -7, -17, -15, -10, -9, -18, -18, -19, -16, -29, -27, -4, 0, -7, -4, -10, -4, -15, -10, -12, -8, -18, -15, -22, -16, -30, -25, -11, -8, -16, -14, -20, -15, -27, -23, -20, -17, -28, -26, -33, -28, -43, -39]",[62],-43.0,2.0,-43.0,0.75
