instance_id,condition,size,depth,loss,sampling_seed,shots,p_feasible,p_optimal,conditional_objective,conditional_quality,weighted_quality,exact_p_feasible,exact_p_optimal,exact_conditional_objective,exact_conditional_quality,exact_weighted_quality,compile_seconds,optimize_seconds
b_4_disjoint_01,feasible,4,1,15.280754164612144,1136766192,10000,0.4208,0.4208,1.0,1.0,0.4208,0.4192046395796428,0.4192046395796428,1.0,1.0,0.4192046395796428,0.0003083162009716034,0.04529845342040062
b_4_disjoint_01,feasible,4,2,11.191937168869213,195372721,10000,0.5977,0.5977,1.0,1.0,0.5977,0.5875733212254556,0.5875733212254556,1.0,1.0,0.5875733212254556,0.0004512458108365536,0.08602200588211417
b_4_disjoint_01,feasible,4,3,7.59759687207077,1997719608,10000,0.8451,0.8451,1.0,1.0,0.8451,0.8405512198582805,0.8405512198582805,1.0,1.0,0.8405512198582805,0.0005720229819417,0.137135096359998
b_4_disjoint_01,feasible,4,4,6.347734624618603,3720048900,10000,0.8226,0.8226,1.0,1.0,0.8226,0.8199985321828238,0.8199985321828238,1.0,1.0,0.8199985321828238,0.0007025748491287231,0.17491144686937332
b_4_disjoint_01,feasible,4,5,5.685016666443761,1717982790,10000,0.8484,0.8484,1.0,1.0,0.8484,0.8419731544079603,0.8419731544079603,1.0,1.0,0.8419731544079603,0.0007383301854133606,0.2104058088734746
b_4_disjoint_01,local,4,1,15.280754164612144,4265664988,10000,0.4183,0.4183,1.0,1.0,0.4183,0.4192046395796428,0.4192046395796428,1.0,1.0,0.4192046395796428,0.0002772342413663864,0.04560561012476683
b_4_disjoint_01,local,4,2,11.191937168869213,1223962034,10000,0.5927,0.5927,1.0,1.0,0.5927,0.5875733212254556,0.5875733212254556,1.0,1.0,0.5875733212254556,0.00043676886707544327,0.08739805221557617
b_4_disjoint_01,local,4,3,7.59759687207077,791117084,10000,0.8397,0.8397,1.0,1.0,0.8397,0.8405512198582805,0.8405512198582805,1.0,1.0,0.8405512198582805,0.0005727619864046574,0.1337860133498907
b_4_disjoint_01,local,4,4,6.347734624618603,2605151750,10000,0.8257,0.8257,1.0,1.0,0.8257,0.8199985321828238,0.8199985321828238,1.0,1.0,0.8199985321828238,0.0007322770543396473,0.17485772026702762
b_4_disjoint_01,local,4,5,5.685016666443761,123496109,10000,0.8445,0.8445,1.0,1.0,0.8445,0.8419731544079603,0.8419731544079603,1.0,1.0,0.8419731544079603,0.0007053352892398834,0.20849852031096816
b_4_disjoint_01,maximum,4,1,6.338100932870223,872010290,10000,0.4303,0.4303,1.0,1.0,0.4303,0.4345881560821935,0.4345881560821935,1.0,1.0,0.4345881560821935,0.00026730913668870926,0.045740123838186264
b_4_disjoint_01,maximum,4,2,4.929912235307718,534280163,10000,0.6289,0.6289,1.0,1.0,0.6289,0.6274546095115195,0.6274546095115195,1.0,1.0,0.6274546095115195,0.0004536481574177742,0.0862762345932424
b_4_disjoint_01,maximum,4,3,3.3049133795043253,56533684,10000,0.6138,0.6138,1.0,1.0,0.6138,0.6182142864253906,0.6182142864253906,1.0,1.0,0.6182142864253906,0.0005027521401643753,0.1343885795213282
b_4_disjoint_01,maximum,4,4,3.006384876106119,2480100064,10000,0.6921,0.6921,1.0,1.0,0.6921,0.6881984945707211,0.6881984945707211,1.0,1.0,0.6881984945707211,0.0006850529462099075,0.17667460395023227
b_4_disjoint_01,maximum,4,5,2.9706479935486003,1144310390,10000,0.7242,0.7242,1.0,1.0,0.7242,0.7220540246013994,0.7220540246013994,1.0,1.0,0.7220540246013994,0.0008832183666527271,0.21012980677187443
b_4_disjoint_01,range,4,1,55.042238315963374,1074033100,10000,0.03,0.03,1.0,1.0,0.03,0.029200583015763566,0.029200583015763566,1.0,1.0,0.029200583015763566,0.7502508498728275,0.04246326815336943
b_4_disjoint_01,range,4,2,29.664096825925107,138112445,10000,0.5714,0.5714,1.0,1.0,0.5714,0.5776841964613196,0.5776841964613196,1.0,1.0,0.5776841964613196,1.0609058612026274,0.08311221282929182
b_4_disjoint_01,range,4,3,15.587650428425167,1700191699,10000,0.7124,0.7124,1.0,1.0,0.7124,0.7222522612986249,0.7222522612986249,1.0,1.0,0.7222522612986249,1.485568636097014,0.1365185254253447
b_4_disjoint_01,range,4,4,13.144207712780052,1860256410,10000,0.7489,0.7489,1.0,1.0,0.7489,0.7472779289862411,0.7472779289862411,1.0,1.0,0.7472779289862411,1.9112358829006553,0.1724653709679842
b_4_disjoint_01,range,4,5,7.317891028214587,4162279480,10000,0.8965,0.8965,1.0,1.0,0.8965,0.8966226659911718,0.8966226659911718,1.0,1.0,0.8966226659911718,2.3855503741651773,0.21235110145062208
b_4_disjoint_01,verma_lewis,4,1,23.220037637143108,2694347903,10000,0.0519,0.0519,1.0,1.0,0.0519,0.05179051230393489,0.05179051230393489,1.0,1.0,0.05179051230393489,0.00024990225210785866,0.0443154638633132
b_4_disjoint_01,verma_lewis,4,2,13.720302765949663,1235320906,10000,0.49,0.49,1.0,1.0,0.49,0.48800022355438477,0.48800022355438477,1.0,1.0,0.48800022355438477,0.00046035321429371834,0.08744020527228713
b_4_disjoint_01,verma_lewis,4,3,7.794661864876687,1628858859,10000,0.6557,0.6557,1.0,1.0,0.6557,0.656321289173435,0.656321289173435,1.0,1.0,0.656321289173435,0.0006129737012088299,0.13606752175837755
b_4_disjoint_01,verma_lewis,4,4,6.354491122240867,1378980223,10000,0.7195,0.7195,1.0,1.0,0.7195,0.7162260274754076,0.7162260274754076,1.0,1.0,0.7162260274754076,0.0007768580690026283,0.176021589897573
b_4_disjoint_01,verma_lewis,4,5,6.255396518817404,3909087391,10000,0.7554,0.7554,1.0,1.0,0.7554,0.7546765275879488,0.7546765275879488,1.0,1.0,0.7546765275879488,0.0007734349928796291,0.21186357410624623
b_4_disjoint_02,feasible,4,1,5.797024270548223,3347685657,10000,0.7515999999999999,0.077,2.2323044172432147,0.5382422261081122,0.4045428571428571,0.7544602704953443,0.07972275098302739,2.202300393834522,0.5425285151664968,0.40931621030395265,0.00024284794926643372,0.041404393035918474
b_4_disjoint_02,feasible,4,2,4.801346154487133,2847595030,10000,0.8187,0.1491,1.815316965921583,0.5978118620112024,0.4894285714285714,0.8196231077540056,0.14650138397600782,1.8245579420826725,0.5964917225596181,0.4888983993938543,0.00042709382250905037,0.07913772761821747
b_4_disjoint_02,feasible,4,3,4.012573104789102,1861112991,10000,0.8445,0.2681,1.222972172883363,0.6824325467309481,0.5763142857142857,0.8389790736144668,0.26863512145436386,1.207511765955394,0.6846411762920867,0.5743996198438537,0.0005136360414326191,0.1112310909666121
b_4_disjoint_02,feasible,4,4,2.9378861917081345,3302099603,10000,0.9144,0.1674,1.5837707786526685,0.6308898887639044,0.5768857142857142,0.9187857313873516,0.1764243643335627,1.5504317822179416,0.6356526025402941,0.5840285413332577,0.0005634990520775318,0.15849362034350634
b_4_disjoint_02,feasible,4,5,1.4298912987556966,4202519784,10000,0.9167,0.3827,-0.18392058470601066,0.8834172263865729,0.8098285714285713,0.915274748481892,0.38063682025357326,-0.19038927569791958,0.8843413250997028,0.8094152839027736,0.0007345550693571568,0.1932868743315339
b_4_disjoint_02,local,4,1,6.50632715283559,1188330059,10000,0.6433,0.072,2.1399036219493235,0.5514423397215252,0.3547428571428572,0.6385647628003122,0.07064364319317426,2.148364492068844,0.5502336439901652,0.3513598163593312,0.00032474473118782043,0.04147130670025945
b_4_disjoint_02,local,4,2,4.945063033913272,2402383864,10000,0.7475,0.159,1.6013377926421402,0.6283803153368371,0.4697142857142858,0.7405622476019531,0.16455794413271913,1.575491496069116,0.6320726434186977,0.46808913745785863,0.0004184916615486145,0.0741528170183301
b_4_disjoint_02,local,4,3,3.6879317867792136,3802142692,10000,0.8071999999999999,0.3286,0.8194995044598614,0.740071499362877,0.5973857142857142,0.8063613697705733,0.3381988776193567,0.7752426855325055,0.7463939020667849,0.6018632092589759,0.0004287697374820709,0.1096080238930881
b_4_disjoint_02,local,4,4,2.2164496117880006,1836914579,10000,0.9436,0.2198,1.4363077575243748,0.651956034639375,0.6151857142857142,0.9445647716652998,0.22356081415013626,1.4309860266572296,0.65271628190611,0.6165328057808682,0.0006518438458442688,0.15727816661819816
b_4_disjoint_02,local,4,5,1.1111564025697342,941574983,10000,0.9324000000000001,0.3509,-0.08462033462033461,0.8692314763743335,0.8104714285714286,0.9282426951852333,0.35140042631820095,-0.08899506666092219,0.8698564380944174,0.807437884520989,0.000742908101528883,0.1938401758670807
b_4_disjoint_02,maximum,4,1,2.391816279694782,1111487176,10000,0.7930000000000001,0.193,1.3085750315258509,0.6702035669248785,0.5314714285714287,0.7941986282288432,0.19644533026240163,1.3057664193701042,0.6706047972328423,0.5325934100460049,0.0003005918115377426,0.041807837784290314
b_4_disjoint_02,maximum,4,2,1.6321304905113156,1936841634,10000,0.9128999999999999,0.2729,1.136378573775879,0.6948030608891601,0.6342857142857142,0.9098600753975106,0.27660130207335754,1.101773813419411,0.6997465980829413,0.6366714924908965,0.0004337732680141926,0.074069669470191
b_4_disjoint_02,maximum,4,3,1.1846202159269037,840240186,10000,0.9270999999999999,0.296,0.7477079063747168,0.750327441946469,0.6956285714285714,0.9247316818056999,0.2922398118319928,0.7631667139981289,0.7481190408574101,0.6918093788429399,0.00043658073991537094,0.10884970566257834
b_4_disjoint_02,maximum,4,4,0.5198017486408534,1787524706,10000,0.9655,0.4112,0.1897462454686691,0.830036250647333,0.8014,0.9626018741446326,0.4047339659462779,0.20023141500881292,0.8285383692844553,0.7975525870739544,0.0006415620446205139,0.15809917962178588
b_4_disjoint_02,maximum,4,5,0.16741766885717685,1535747774,10000,0.9678,0.4838,-0.08648481091134534,0.8694978301301922,0.8415,0.9657823626495573,0.4858794780492267,-0.09558682858719778,0.8707981183695997,0.8410014641497809,0.0007310886867344379,0.1925751813687384
b_4_disjoint_02,range,4,1,5.189402970818266,3147800859,10000,0.8709000000000001,0.1113,2.2314846710299685,0.5383593327100045,0.46885714285714297,0.8696196923471964,0.10509548843903654,2.2473349773539275,0.5360950032351532,0.4661987717822232,0.7206812272779644,0.037821218837052584
b_4_disjoint_02,range,4,2,4.509114324949656,302783410,10000,0.902,0.069,2.2703991130820396,0.5328001267025658,0.4805857142857144,0.9008012143107709,0.07082047748936789,2.262061994565185,0.533991143633545,0.48101987061629464,1.0018419669941068,0.07340818084776402
b_4_disjoint_02,range,4,3,3.4429862272856715,3153188102,10000,0.9470999999999999,0.0216,2.071481364164291,0.5612169479765299,0.5315285714285715,0.9472355501240203,0.02064348134962143,2.0778487278993527,0.5603073245858068,0.5307430168425546,1.4901044350117445,0.11387219047173858
b_4_disjoint_02,range,4,4,2.6469621915899677,154070629,10000,0.882,0.4937,-0.056462585034013635,0.8652089407191449,0.7631142857142857,0.8853753987438816,0.49414169413538683,-0.03339612916320237,0.8619137327376004,0.7631172148053804,1.7959483652375638,0.16519309766590595
b_4_disjoint_02,range,4,5,1.752575740113544,3726966745,10000,0.9147000000000002,0.6067,-0.35432382201814794,0.9077605460025925,0.8303285714285715,0.915703773070508,0.6088469561993315,-0.35600399680941575,0.9080005709727736,0.8314595487899444,2.1727223992347717,0.2015579449944198
b_4_disjoint_02,verma_lewis,4,1,5.1920332647687175,287165958,10000,0.6463,0.0898,1.8870493578833356,0.5875643774452378,0.3797428571428572,0.6471784835295004,0.08972762913559124,1.882324537885767,0.5882393517306047,0.3806958516053891,0.00032713403925299644,0.038146658800542355
b_4_disjoint_02,verma_lewis,4,2,2.9075743866802286,2065809168,10000,0.8154,0.1952,1.1482707873436349,0.6931041732366235,0.5651571428571428,0.8168315426568812,0.18946906695111962,1.1842901638015895,0.6879585480283443,0.5619462420699806,0.00035621505230665207,0.0780900870449841
b_4_disjoint_02,verma_lewis,4,3,1.6798279689150521,1600633484,10000,0.9140999999999999,0.233,0.8849141231812713,0.730726553831247,0.6679571428571428,0.9139909194924822,0.23253462033847452,0.8720212034065417,0.7325683995133512,0.6695608650623439,0.000507814809679985,0.1086309370584786
b_4_disjoint_02,verma_lewis,4,4,1.5342311624858145,2866100893,10000,0.9147,0.2615,0.6944353339892861,0.7579378094301019,0.6932857142857142,0.9149463836343615,0.2577870478806787,0.6923103071141297,0.7582413846979815,0.6937502128513289,0.0006714020855724812,0.1571962838061154
b_4_disjoint_02,verma_lewis,4,5,0.8665490299964762,3015964948,10000,0.9219999999999999,0.3843,0.1350325379609545,0.8378524945770065,0.7725,0.9200756987495929,0.385080536212126,0.12882340918094204,0.8387395129741512,0.7717038434685854,0.0007173027843236923,0.1940428325906396
b_4_overlapping_01,feasible,4,1,5624.316522928648,3924759350,10000,0.4107,0.0536,-3.8970051132213293,0.37669270101702534,0.15470769230769232,0.41506288410622516,0.05425695109928174,-3.919119880067063,0.37839383692823564,0.15705723728345414,0.054878592025488615,20.420444406569004
b_4_overlapping_01,feasible,4,2,5461.728033231875,1436521658,10000,0.4982,0.0544,-3.7003211561621843,0.3615631658586296,0.18013076923076923,0.4990971474072726,0.05599925817579779,-3.7299021751074943,0.3638386288544226,0.18159082177781571,0.10497464006766677,43.547529285307974
b_4_overlapping_01,feasible,4,3,5956.8166867509235,3583644324,10000,0.5088999999999999,0.0621,-3.9381017881705644,0.37985398370542806,0.1933076923076923,0.506128709614023,0.06102833788435408,-3.967977820931992,0.3821521400716917,0.1934181695307227,0.15537721384316683,56.51893697306514
b_4_overlapping_01,feasible,4,4,5907.36604198906,1284277469,10000,0.5091,0.0577,-3.8774307601649975,0.3751869815511537,0.19100769230769235,0.5024247210716659,0.05913959378529789,-3.8483047707780718,0.3729465208290824,0.18737755170219997,0.203195177949965,73.89702202472836
b_4_overlapping_01,feasible,4,5,6050.882572911709,2820940761,10000,0.4942,0.0579,-3.9481991096721982,0.3806307007440152,0.1881076923076923,0.4922769546474689,0.05652762269570019,-3.9158836140900637,0.37814489339154334,0.18615201653428073,0.2524280590005219,92.2096390365623
b_4_overlapping_01,local,4,1,4423.419771601373,4280205889,10000,0.5093,0.0654,-4.038680541920283,0.38759081091694486,0.19740000000000002,0.5001095654187513,0.0633581636463029,-4.001868948648775,0.3847591498960596,0.19242173124540654,0.05566157586872578,20.50507460255176
b_4_overlapping_01,local,4,2,4408.2757834424065,3162052049,10000,0.4968,0.0594,-3.9319645732689215,0.37938189025145547,0.18847692307692307,0.49946212306990945,0.06323168074192563,-3.903788287690746,0.37721448366851895,0.18840434686579816,0.1055996879003942,38.79405247652903
b_4_overlapping_01,local,4,3,4461.487134697641,3139846919,10000,0.502,0.0624,-4.028087649402391,0.3867759730309531,0.19416153846153847,0.5078269561946542,0.06328482294093717,-4.019709628095583,0.3861315098535064,0.1960879893397523,0.15434913616627455,56.51370779844001
b_4_overlapping_01,local,4,4,4536.879580375334,2177417359,10000,0.5005999999999999,0.0601,-3.9334798242109477,0.37949844801622673,0.18997692307692307,0.5047505402707662,0.06563426296791915,-4.0614884339721105,0.3893452641517008,0.19652223243243513,0.20330467307940125,74.37268462171778
b_4_overlapping_01,local,4,5,4511.8393597569475,813783800,10000,0.4998,0.0624,-4.007402961184473,0.3851848431680364,0.19251538461538462,0.5076458938245709,0.0642855917615265,-3.997332540440362,0.38441019541848936,0.19514425724849702,0.254870783071965,92.84078110661358
b_4_overlapping_01,maximum,4,1,1390.5090001804758,1641231259,10000,0.5057,0.0621,-3.978841210203678,0.3829877854002829,0.19367692307692308,0.4992953412533434,0.06323325258863459,-4.016485057802192,0.38588346598478396,0.19266981683289564,0.055508479941636324,20.542763169389218
b_4_overlapping_01,maximum,4,2,1254.5220955640382,3733651704,10000,0.5057,0.0612,-3.8675103816491987,0.3744238755114768,0.18934615384615383,0.49912650171689055,0.05964110142568148,-3.8243489418167216,0.3711037647551324,0.18522772387619713,0.10550109902396798,38.939044618979096
b_4_overlapping_01,maximum,4,3,1436.9664547726954,897888507,10000,0.5051,0.0655,-4.016036428430014,0.385848956033078,0.1948923076923077,0.5036276028846648,0.06299066974039008,-3.97193629823662,0.3824566383258939,0.19261571996739715,0.15564316604286432,56.52709678048268
